"species","mean_aspect","max_aspect","min_aspect","sample_n"
"Acutotyphlops_subocularis",46.5448002290108,50.2923976608187,42.7972027972028,2
"Anilios_affinis",67.0139752535431,83.955223880597,55.9405940594059,7
"Anilios_ammodytes",58.9604111210614,78.2383419689119,46.5631929046563,7
"Anilios_aspina",61.9736842105263,61.9736842105263,61.9736842105263,1
"Anilios_australis",46.9182561114726,75.2272727272727,35.5128205128205,10
"Anilios_bicolor",37.6916500068729,62.0423892100193,26.0297984224365,10
"Anilios_bituberculatus",68.2149505017675,90.5882352941177,53.6231884057971,12
"Anilios_broomi",57.4022338629547,63.3165829145729,50.599520383693,3
"Anilios_centralis",62.4137786712281,119.421487603306,48.2861400894188,25
"Anilios_diversus",64.0311243280048,77.5577557755776,53.9007092198582,6
"Anilios_endoterus",59.414968962583,80.9782608695652,45.9366391184573,21
"Anilios_fossor",52,52,52,1
"Anilios_ganei",45.4144036825276,56.0869565217391,37.3641304347826,11
"Anilios_grypusET",99.4903005162726,107.488986784141,88.2857142857143,4
"Anilios_grypusW",87.2548440340359,122.988505747126,63.003663003663,11
"Anilios_guentheri",82.3813767639225,101.619433198381,56.5846599131693,8
"Anilios_hamatus",48.000474644819,56.5284178187404,40.6919275123558,8
"Anilios_howi",82.7919691066694,109.465020576132,60.4863221884498,4
"Anilios_kimberleyensis",50.7529392494198,68.8118811881188,41.8111753371869,12
"Anilios_leptosoma",93.7155085139079,101.5625,81.858407079646,7
"Anilios_leucoproctus",50.0533615816069,59.6421471172962,44.988344988345,4
"Anilios_ligatus",33.0922301253091,39.5534290271132,26.6917293233083,6
"Anilios_ligatusE",29.14715136264,38.3647798742138,22.0588235294118,13
"Anilios_longissimus",169.811320754717,169.811320754717,169.811320754717,1
"Anilios_margaretae",96.4934228289181,111.481481481481,82.1022727272727,4
"Anilios_micromma",75.4646840148699,75.4646840148699,75.4646840148699,1
"Anilios_minimus",67.3281867740696,77.6572668112798,56.8910256410256,4
"Anilios_nema",81.4281425984628,94.0740740740741,70.9239130434783,5
"Anilios_nigrescens",52.8807727176523,62.8815628815629,44.8616600790514,10
"Anilios_obtusifrons",87.2459771851628,91.705069124424,82.7868852459016,2
"Anilios_pilbarensis",49.149223930922,64.1137855579869,42.7320490367776,13
"Anilios_pinguis",29.2239722701167,48.5280151946819,20.818692902319,12
"Anilios_proximus",34.6230164406066,48.2306684141547,26.5428400239664,15
"Anilios_robertsi",62.6526082130966,62.6526082130966,62.6526082130966,1
"Anilios_silvia",50.2522422236963,64.9717514124294,42.7350427350427,3
"Anilios_sp",63.0922693266833,63.0922693266833,63.0922693266833,1
"Anilios_systenos",99.0298684312466,109.465020576132,84.0531561461794,3
"Anilios_torresianus",43.0415722848737,48.0083857442348,35.1097178683386,13
"Anilios_tovelli",39.7131349441646,46.2173314993122,34.9462365591398,14
"Anilios_troglodytes",67.2436997505301,85.7768052516411,52.9411764705882,4
"Anilios_unguirostris",58.9193143409372,82.3853211009174,40.6880189798339,15
"Anilios_waitii",76.8490756834869,85.781990521327,64.1929499072356,7
"Anilios_wiedii",62.3302710311251,84.3165467625899,49.4609164420485,13
"Anilios_yampiensis",67.5257731958763,67.5257731958763,67.5257731958763,1
"Anilios_yirrikalae",51.1621228958191,58.796992481203,42.8,4
"Anilios_zonula",73.0578286961266,80.5128205128205,65.6028368794326,2
"Ramphotyphlops_acuticauda",56.8798407005157,59.3516209476309,54.4080604534005,2
"Ramphotyphlops_depressus",52.4432611345878,54.8672566371681,50,3
"Ramphotyphlops_multilineatus",71.2574850299401,71.2574850299401,71.2574850299401,1
