species,mean_vert,max_vert,min_vert,median_vert,mean_preclo,max_preclo,min_preclo,median_preclo
Acutotyphlops_subocularis,183,183,182,183,168,169,167,168
Anilios_affinis,240,247,231,240,227,238,218,224
Anilios_ammodytes,222,244,208,220,209,231,194,209
Anilios_aspina,259,259,259,259,247,247,247,247
Anilios_australis,170,175,161,171,156,164,145,158
Anilios_bicolor,175,186,163,177,161,173,145,164
Anilios_bituberculatus,241,283,215,237,228,269,202,224
Anilios_broomi,242,246,236,245,231,235,223,234
Anilios_centralis,241,263,222,239,226,250,208,226
Anilios_diversus,224,250,203,222,210,233,186,211
Anilios_endoterus,225,260,211,224,211,245,193,211
Anilios_fossor,262,262,262,262,250,250,250,250
Anilios_ganei,219,236,210,218,206,222,197,204
Anilios_grypusET,288,297,281,287,274,283,268,273
Anilios_grypusW,336,400,305,333,319,387,282,316
Anilios_guentheri,290,323,241,296,279,311,231,285
Anilios_hamatus,194,205,183,194,182,195,171,182
Anilios_howi,296,309,267,304,286,297,255,295
Anilios_kimberleyensis,219,262,203,213,207,251,188,199
Anilios_leptosoma,331,351,306,337,316,339,288,321
Anilios_leucoproctus,214,217,208,216,202,206,194,204
Anilios_ligatus,170,179,158,170,156,167,143,154
Anilios_ligatusE,162,169,156,161,147,155,139,148
Anilios_longissimus,381,381,381,381,369,369,369,369
Anilios_margaretae,288,291,285,288,275,281,271,275
Anilios_micromma,279,279,279,279,265,265,265,265
Anilios_minimus,257,284,220,262,246,272,208,251
Anilios_nema,334,339,324,336,317,328,299,319
Anilios_nigrescens,212,234,195,212,196,218,183,191
Anilios_obtusifrons,298,299,296,298,284,286,282,284
Anilios_pilbarensis,213,224,203,213,197,210,185,195
Anilios_pinguis,165,200,156,163,153,188,143,151
Anilios_proximus,181,200,160,182,168,187,145,169
Anilios_robertsi,291,291,291,291,283,283,283,283
Anilios_silvia,179,181,176,180,166,167,164,167
Anilios_systenos,318,325,313,317,300,306,297,298
Anilios_torresianus,213,223,202,212,194,206,182,193
Anilios_tovelli,154,168,146,153,140,155,132,139
Anilios_troglodytes,305,322,295,302,292,310,282,288
Anilios_unguirostris,231,267,189,227,219,257,180,216
Anilios_waitii,318,338,288,321,304,325,270,306
Anilios_wiedii,221,230,212,222,206,215,196,208
Anilios_yampiensis,298,298,298,298,289,289,289,289
Anilios_yirrikalae,233,261,216,227,216,248,201,208
Anilios_zonula,254,258,250,254,243,245,240,243
Ramphotyphlops_acuticauda,205,207,203,205,191,195,187,191
Ramphotyphlops_depressus,216,230,206,213,198,211,190,194
Ramphotyphlops_multilineatus,276,276,276,276,259,259,259,259
