order,RegNo,rego_c,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,jar note,photograph,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Notes,sex database,database svl,ryan's svl,remeasure?,tissue,age,age literature,plainNumber,xray
1,R.148795,148795,Anilios,proximus,-17.38,145.38,f,glenn shea,yes,x,187,13,12.116,,x,480.00,482.00,11.00,11.00,0.02,pointy,12.69,12.69,9.90,9.16,7.82,7.84,5.18,5.22,4.32,4.00,5.53,5.90,6.47,6.25,3.00,2.94,3.43,3.41,4.10,4.41,,,,,,,,,,,
2,R.12125,12125,Anilios,pinguis,-34.03,117.63,f,eggs,yes,x,151,11,13.462,,x,427.00,427.00,11.00,11.00,0.03,pointy,17.66,17.97,8.93,9.20,9.37,9.18,6.33,6.41,4.10,4.57,6.53,6.53,6.69,6.81,3.16,3.15,3.37,3.69,4.14,4.38,,,,,,,,,,,
3,R.41163,41163,Anilios,ligatus,-30.75,148.67,f,eggs,yes,x,155,14,11.336,,x,344.00,356.00,10.00,10.00,0.03,pointy,16.06,16.58,9.78,9.32,8.76,9.24,7.56,7.96,3.74,3.59,5.46,5.76,4.82,4.64,2.93,2.83,5.96,5.73,4.71,4.24,,,,,,,,,,,
4,R.63835,63835,Anilios,ligatus,-18.20,144.78,f,eggs,yes,x,155,13,12.799,,x,392.00,380.00,12.00,12.00,0.03,pointy,16.08,15.59,9.98,9.95,8.41,8.24,6.92,6.65,4.29,4.17,5.71,5.53,5.82,5.61,3.00,2.98,4.44,4.40,4.25,4.19,,,,,,,,,,,
5,R.118650,118650,Anilios,proximus,-34.55,146.40,f,glenn shea,yes,x,168,11,10.882,,x,360.00,359.00,7.00,7.00,0.02,pointy,11.83,11.74,8.50,8.58,7.19,7.16,5.98,5.95,3.67,3.87,4.95,4.96,5.99,5.79,2.54,2.48,3.96,4.32,3.70,3.81,,,,,,,,,,,
6,R.174275,174275,Anilios,proximus,-30.7696589,149.7576961,m,glenn shea,yes,x,154,17,10.996,,x,287.00,292.00,13.00,13.00,0.04,pointy,11.17,11.17,9.02,9.18,6.45,6.46,5.21,4.98,3.53,3.63,4.78,4.59,5.50,5.35,2.65,2.51,3.49,3.24,3.32,3.37,,,,,,,,,,,
7,R.27306,27306,Anilios,pinguis,-33.53,118.50,f,eggs,yes,x,143,13,11.93,,x,285.00,284.00,11.50,12.00,0.04,pointy,14.05,14.41,9.35,9.48,7.77,7.90,6.39,6.13,4.14,4.13,5.55,5.49,6.11,6.17,2.74,2.69,4.28,4.33,3.68,3.77,,,,,,,,,,,
8,R.163332,163332,Anilios,proximus,-35.1100,147.2986,f,glenn shea,yes,x,166,13,8.821,,x,300.00,299.00,6.50,6.00,0.02,pointy,8.48,8.30,5.10,5.37,5.83,5.71,4.07,4.16,2.86,2.75,3.63,3.75,4.78,4.59,2.29,2.32,3.25,3.22,3.27,3.20,,,,,,,,,,,
9,R.16743,16743,Anilios,ligatus,-28.98,149.00,m,tail,tail,x,139,17,9.153,,x,219.00,222.00,10.50,10.50,0.05,pointy,9.14,9.29,5.88,5.97,5.68,5.62,4.63,4.26,2.88,2.98,4.16,3.97,3.34,3.43,1.76,1.56,3.02,2.89,2.58,2.63,,,,,,,,,,,
10,R.161717,161717,Anilios,proximus,-30.3597,150.9111,m,glenn shea,yes,,,,,,x,295.00,295.00,6.50,6.50,0.02,pointy,10.35,10.06,7.45,7.47,6.37,6.10,4.28,4.42,3.10,3.23,4.61,4.71,5.10,5.09,2.31,2.44,3.22,3.05,3.16,3.35,,,,,,,,,,,
