order,RegNo,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,jar note,photograph,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,headlength_xray,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,Notes,sex database,database svl,ryan's svl,remeasure?,tissue,age,age literature,plainNumber,xray
1,R21665,Anilios,nema,-12.43333333,130.8333333,male,literature,yes,holotype,x,y,y,328,10,4.467,268,267,3,3,0.011214953,pointy,323,351,212,233,250,240,175,175,148,137,181,179,181,182,81,92,109,117,150,160,,,,,,,,,,
2,R14324,Anilios,fossor,-23.46666667,134.9666667,female,literature,yes,holotype,x,y,y,250,12,5.149,240,244,5,5,0.020661157,pointy,475,475,313,323,237,241,185,188,146,147,179,182,210,209,103,107,139,139,149,150,,,,,,,,,,
3,R34490,Anilios,centralis,-23.7,133.8666667,male,hemipenes,yes,holotype,x,y,y,217,15,5.25,258,257,10,10,0.038834951,pointy,521,538,441,442,367,366,308,303,183,176,280,276,314,312,156,153,217,230,219,208,,,,,,,,,,
4,R34491,Anilios,centralis,-23.8,133.7333333,male,tail,tail,paratype,x,y,y,215,15,5.1,295,296,8.5,8.5,0.028764805,pointy,484,478,412,402,353,358,259,258,213,215,273,272,301,317,171,159,154,160,205,200,ntm 5888,,,,,,,,,
5,R34494,Anilios,centralis,-23.7,133.8833333,female,tail,tail,paratype,x,y,y,208,18,5.43,208,208,5,5,0.024038462,pointy,438,423,356,362,282,286,272,253,150,159,228,225,296,281,138,136,158,160,178,178,,,,,,,,,,
6,R34492,Anilios,centralis,-23.76666667,133.8833333,female,tail?,tail,paratype,x,y,y,243,13,5.719,285,283,5,5,0.017605634,pointy,418,393,307,326,322,322,259,257,181,184,228,229,299,286,138,140,164,163,203,203,,,,,,,,,,
7,R34493,Anilios,centralis,-23.7,133.8833333,male,tail?,tail,paratype,x,y,y,208,14,4.595,159,159,5,5,0.031446541,pointy,283,276,281,278,253,248,179,183,131,132,185,189,208,214,101,101,114,119,171,161,,,,,,,,,,
8,R16047,Anilios,nema,-12.4,130.9,male,testes,yes,paratype,x,y,y,299,25,3.595,181,184,4.5,4.5,0.024657534,pointy,248,242,174,178,179,185,120,119,108,100,137,131,158,150,69,65,92,72,98,107,,,,,,,,,,
9,R34110,Anilios,nema,-12.41666667,130.8833333,female,juv??,tail,paratype,x,y,y,319,17,6.135,127,128,3,3,0.023529412,pointy,180,188,140,146,170,170,129,139,100,93,139,135,115,124,75,92,69,63,97,95,,,,,,,,,,
10,R27556,Anilios,nema,-12.39366667,130.8771667,female,tail?,tail,,x,y,y,319,13,4.497,250,250,4,4,0.016,pointy,269,271,214,215,237,232,161,165,146,154,158,156,185,179,86,90,102,98,141,134,,,,,,,,,,
11,R27696,Anilios,nema,-13.03333333,131,male,male,yes,,x,y,y,322,17,3.879,210,212,11,11,0.052132701,pointy,260,259,237,229,198,191,138,133,119,124,132,138,140,137,101,92,76,75,115,111,,,,,,,,,,
12,R07521,Anilios,minimus ?,-13.88333333,136.7666667,female,tail ratio? Shea and Horner 1998,tail,,x,y,y,208,12,4.482,174,176,4,4,0.022857143,pointy,234,227,181,181,197,196,139,132,120,119,141,144,158,163,80,73,85,90,111,114,,,,,,,,,,
13,R09874,Anilios,minimus,-13.96666667,136.4333333,male,literature,yes,,x,y,y,255,10,4.313,211,211,4.5,4.5,0.021327014,pointy,295,286,232,227,208,211,151,142,127,119,170,171,163,164,74,77,116,116,130,134,,,,,,,,,,
14,R13936,Anilios,yirrikalae,-13.41666667,132.1,female,no testes or hemipenes,yes,,x,y,y,206,17,5.921,156,156,4.5,4.5,0.028846154,pointy,377,373,292,287,268,262,204,215,159,166,171,173,257,263,105,112,161,154,153,157,,,,,,,,,,
15,R16855,Anilios,yirrikalae,-12.43333333,130.9333333,male,testes???,yes,,x,y,y,248,13,6.106,190,189,6,6,0.031662269,pointy,322,343,290,295,303,305,231,223,164,153,222,239,273,276,139,140,170,167,178,175,,,,,,,,,,
16,R14447,Anilios,yirrikalae,-17.31666667,137.0666667,female,oviducts?,yes,,x,y,y,201,15,6.087,195,190,3.5,3.5,0.018181818,pointy,448,436,294,278,288,287,224,219,192,186,220,230,267,251,118,127,162,160,170,169,,,,,,,,,,
17,R36151,Anilios,tovelli,-11.337,132.58565,female,tail?,tail,,x,y,y,155,13,4.914,153,153,4.5,4.5,0.029411765,pointy,361,358,248,229,252,247,187,176,111,127,186,186,183,175,99,93,131,139,122,123,,,,,,,,,,
18,R03422,Anilios,tovelli,-12.45,131.05,male,tail?,tail,,x,y,y,136,14,4.752,152,152,6,6,0.039473684,pointy,412,408,301,298,251,252,194,183,123,114,184,191,175,172,84,88,155,148,131,130,,,,,,,,,,
19,R08365,Anilios,tovelli,-12.45,131.05,female,tail,tail,,x,y,y,142,12,4.093,101,101,3.5,3.5,0.034653465,pointy,295,292,183,180,200,209,138,143,115,105,143,140,145,142,69,74,107,110,104,95,in box with Tovelli? X-ray on the right,,,,,,,,,
20,R08718,Anilios,tovelli,-12.45,131.05,male,tail? Testes,yes,,x,y,y,143,17,4.717,115,115,5,5,0.043478261,pointy,325,324,250,250,214,219,130,142,106,96,147,154,150,153,81,81,97,103,123,114,,,,,,,,,,
21,R12045,Anilios,tovelli,-12.56333333,131.3083333,female,tail?,tail,,x,y,y,140,12,5.478,164,163,4.5,4.5,0.027522936,pointy,365,362,229,230,295,290,185,173,149,144,195,205,199,201,114,111,146,149,157,160,,,,,,,,,,
22,R03279,Anilios,tovelli,-12.7,130.9666667,male,tail?,tail,,x,y,y,136,16,4.258,124,124,4,4,0.032258065,pointy,314,309,173,180,247,239,163,151,132,118,169,165,161,154,72,85,120,125,122,116,,,,,,,,,,
23,R36155,Anilios,tovelli,-12.18,136.1101667,male,testes,yes,,x,y,y,136,14,4.283,114,115,5,5,0.043668122,pointy,298,287,215,216,237,232,123,137,105,105,144,148,144,145,85,85,108,113,116,112,x-ray unclear,,,,,,,,,
