order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
1,J93635,1,Anilios,affinis,-20.51138889,146.8672222,male,tail,tail,238.0,238.00,8.0,8.00,0.034,pointy,3.16,3.10,2.33,2.22,2.17,2.22,1.41,1.52,1.40,1.42,1.61,1.76,1.95,2.07,0.92,0.94,1.26,1.16,1.15,1.20,y,y,,,4.07,,,2,,,,,,,Yes
2,J76269,2,Anilios,affinis,-19.75,147.8,female,tail,tail,239.0,238.00,3.50,3.50,0.015,pointy,3.65,3.39,2.52,2.74,2.44,2.33,1.77,1.75,1.34,1.41,2.02,1.95,2.28,2.13,1.25,1.11,1.45,1.47,1.49,1.34,y,y,,,4.58,,,1,,,,,,,Yes
3,J44506,3,Anilios,affinis,-19.48333333,145.65,male,hemipenes,yes,201.0,201.00,7.0,7.00,0.035,pointy,3.13,3.33,2.63,2.60,1.99,1.83,1.58,1.52,1.09,1.10,1.61,1.74,1.90,1.83,1.00,1.03,1.53,1.64,1.19,1.17,y,y,,,3.56,,,1,,,,,,,Yes
4,j76610,4,Anilios,affinis,-25.02166667,147.9291667,female,tail,tail,257.0,256.00,5.0,5.00,0.019,pointy,3.85,3.55,2.61,2.76,2.46,2.44,1.97,1.91,1.39,1.42,1.99,2.01,2.40,2.37,1.21,1.19,1.54,1.64,1.40,1.34,y,y,,,5.07,,,1,,,,,,,Yes
5,j76612,5,Anilios,affinis,-25.09,147.8661111,female,tail,tail,217.0,218.00,2.5,2.50,0.012,pointy,3.23,3.35,2.22,2.41,2.22,2.24,1.53,1.55,1.28,1.30,1.88,1.86,2.30,2.16,0.99,1.02,1.34,1.32,1.33,1.31,y,y,,,4.83,,,1,,,,,,,Yes
6,j44501,6,Anilios,affinis,-20.76666667,146.1666667,female,tail,tail,240.0,240.00,4.0,4.00,0.017,pointy,4.13,4.24,2.65,2.66,2.18,2.17,1.88,1.85,1.46,1.35,1.78,1.90,2.07,1.96,0.88,0.94,1.49,1.49,1.23,1.22,y,y,,,4.68,,,1,,,,,,,Yes
7,j44503,7,Anilios,affinis,-20.33333333,146.65,male,hemipenes,yes,231.0,230.00,8.5,8.00,0.037,pointy,3.45,3.58,2.01,2.11,1.96,2.08,1.86,1.76,1.34,1.24,1.70,1.74,2.13,1.94,1.08,1.11,1.38,1.38,1.31,1.33,y,y,,,4.37,,,1,,,,,,,Yes
8,j45432,8,Anilios,affinis,-24.33333333,151.5666667,male,tail,tail,189.0,189.00,7.5,8.00,0.040,pointy,3.38,3.43,2.42,2.44,2.05,2.18,1.54,1.54,1.32,1.32,1.61,1.78,2.07,1.93,0.91,1.04,1.22,1.22,1.27,1.22,y,y,,,4.60,,,1,,,,,,,Yes
9,j64586,9,Anilios,affinis,-23.51666667,150.3333333,female,egg,yes,204.0,204.00,3.5,3.50,0.017,pointy,3.51,3.64,2.11,2.14,2.12,2.11,1.36,1.30,1.03,0.95,1.86,1.95,2.00,2.00,1.00,1.03,1.28,1.20,1.20,1.18,y,y,,,4.96,,,1,,,,,,,Yes
10,j61022,10,Anilios,affinis,-26.55,142.2,male,tail,tail,221.0,221.00,8.5,8.50,0.038,pointy,2.99,2.92,2.50,2.42,2.05,1.93,1.62,1.57,1.31,1.45,1.56,1.68,1.91,1.93,1.08,1.12,1.18,1.15,1.24,1.25,y,y,,,4.45,,,1,,,,,,,Yes
