order,plainNumber,RegNo,genus database,species database,latitude,longitude,species on jar,svl,tail length,ratio,tail shape,midbody diameter,midtail diameter,head width,head depth,ant nostril to ant eyes,distance between eyes (closest),distance from forehead between eyes to snout,lower lip to snout,mouth width,tip of mouth to head depth,headlength_xray,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,tissue,age,age literature,Notes,sex database,sex dissect,sex,predicted sex,confidence,photograph?
1,45005,R45005,Anilios,grypus,-26.0750,140.8967,grypus,305,4,0.013,round to point,3.50,2.05,2.68,1.93,1.64,2.36,3.02,1.14,1.39,1.53,5.176,Y,Y,268,13,N,,,no species name in database; ID comments bituberculatus,,female,f,female w/ ovaries,yes,Y
2,47762,R47762,Ramphotyphlops,acuticaudis,7.3667,134.5500,,231,7,0.030,"taper to a point, pointy spur",4.01,2.42,3.20,2.21,2.17,2.71,2.41,1.38,2.09,1.47,6.193,Y,Y,195,12,Y,,,,,female,f,female w/ ovaries? Hard to tell bc of connective tissue/film,yes,Y
3,48029,R48029,Ramphotyphlops,acuticaudis,7.6167,134.6403,,208,8,0.038,"taper to a point, pointy spur",3.97,2.38,2.91,2.08,1.58,2.26,1.83,1.24,1.54,1.38,6.006,Y,Y,187,16,N,,,,,male,m,male w/ testes,yes,Y
4,3565,R3565,Anilios,affinis,-19.60,146.83,,222,3,0.014,"round to point, no spur",2.68,2.03,2.37,1.77,1.61,2.03,2.04,1.07,1.18,1.37,4.195,Maybe,Y,238,9,N,,,,,female,f,female w/ eggs,yes,Y
5,55645,R55645,Anilios,affinis,-23.6294,149.1997,,110,3,0.027,"round to point, no spur",2.02,1.56,1.79,1.53,1.18,1.57,1.48,0.69,0.58,0.92,3.15,Y,Y,221,12,Y,Juvenile? Very small,,,,juvenile,m,male ratio,tail,Y
6,926A,R926A,Anilios,australis,-32.12,115.83,,230,7,0.030,round to point,5.06,3.32,4.13,2.89,2.44,3.07,3.87,1.75,2.38,1.99,7.434,Y,Y,157,14,,,,,,female,f,female w/ ovaries,yes,Y
7,22906,R22906,Anilios,australis,-33.72,121.37,,143,4,0.028,round to point,3.04,2.56,2.65,2.02,1.25,2.37,1.91,1.19,1.31,1.57,4.933,Y,Y,164,8,,juvenile,,,,juvenile,j,juvenile; unsure.,,Y
8,26901,R26901,Anilios,australis,-31.75,115.78,,225,10,0.044,round to point,4.06,3.02,3.52,2.88,1.93,2.74,3.03,1.57,1.82,2.01,6.676,Y,Y,145,16,,,,,,male,m,very hard to tell; organs not intact,yes,Y
9,926B,R926B,Anilios,australis,-32.12,115.83,,182,8,0.044,round to point,4.10,3.94,3.47,2.69,2.16,2.45,3.11,1.55,1.96,1.81,6.482,Y,Y,150,15,,,,,,male,m,male w/ testes,yes,Y
10,860,R860,Anilios,bicolor,-34.93,138.68,,289,8,0.028,sharp pointy,11.41,7.06,7.17,5.33,3.66,5.47,5.75,2.59,4.43,3.49,8.649,Maybe,Y,156,12,,,,,,female,f,female w/ eggs,yes,Y
11,1796,R1796,Anilios,bicolor,-36.37,140.70,,390,13,0.033,sharp pointy,15.16,5.04,9.75,6.72,4.97,8.57,8.02,5.88,4.10,5.11,,N,N,,,,,,One of the biggest. Looks like a soft pretzel!,,female,f,female w/ eggs,yes,Y
12,3720,R3720,Anilios,bicolor,-34.43,135.93,,395,10,0.025,sharp pointy,12.85,7.51,7.92,6.16,4.44,6.54,7.48,3.23,4.51,4.10,12.653,Y,Y,170,12,,,,,,female,f,female w/ eggs,yes,Y
13,6200,R6200,Anilios,bicolor,-34.67,138.88,,353,12,0.034,sharp pointy,8.36,6.61,7.92,5.75,4.20,6.66,6.25,3.37,3.80,4.50,,N,N,,,,,,,,female,f,female w/ ovaries,yes,Y
14,43160,R43160,Anilios,bicolor,-34.57,139.60,,334,9,0.027,sharp pointy,11.55,7.76,6.53,4.65,3.68,5.21,5.23,2.66,2.68,3.32,10.193,Y,Y,162,13,N,,,,,female,f,female w/ ovaries,yes,Y
15,55342,R55342,Anilios,bicolor,-33.7183,139.9800,,255,8,0.031,sharp pointy,5.62,4.05,5.04,3.66,2.72,4.08,4.43,2.08,2.33,2.54,8.689,Y,Y,167,13,Y,,,,,female,f,female w/ ovaries,yes,Y
16,63435,R63435,Anilios,bicolor,-31.4811,131.4964,,226,6,0.027,sharp pointy,7.19,4.53,5.17,3.58,2.76,3.92,4.77,2.38,2.41,2.85,8.634,Y,Y,166,13,,,,,,female,f,female w/ ovaries,yes,Y
17,63472,R63472,Anilios,bicolor,-30.17,139.33,,312,10,0.032,sharp pointy,5.19,4.75,6.03,4.34,3.41,5.17,5.57,2.91,2.83,3.54,10.436,Y,Y,173,13,,,,,,female,f,female w/ ovaries,yes,Y
18,71415,R71415,Anilios,bicolor,-33.2058042,136.1931753,,322,7,0.022,sharp pointy,8.19,5.09,6.07,4.66,3.52,4.51,5.40,2.49,3.88,3.14,9.695,Y,Y,172,12,,,,,,female,f,female w/ ovaries,yes,Y
19,2750,R2750,Anilios,bicolor,-35.02,138.60,,339,13,0.038,sharp pointy,9.00,5.78,5.97,4.51,3.06,4.82,5.05,2.28,3.57,3.36,9.506,Y,Y,145,18,,,,,,male,m,male w/ teste,yes,Y
20,5832,R5832,Anilios,bicolor,-35.03,138.60,,290,12,0.041,sharp pointy,8.62,5.96,6.26,4.82,3.22,4.87,5.52,2.82,3.56,3.48,9.614,Y,Y,152,15,,,,,,male,m,male w/ hemipene?,yes,Y
21,16182,R16182,Anilios,bicolor,-35.58,140.52,,201,11,0.055,sharp pointy,6.19,5.12,5.10,3.80,3.11,3.91,4.25,2.18,2.75,2.79,8.411,Maybe,Y,150,16,,,,tip of (old) tail scale fell off while photographing,,male,m,male w/ testes,yes,Y
22,12796,R12796,Anilios,bituberculatus,-34.37,136.13,,345,6,0.017,"round to point, no spur",8.66,4.59,4.49,2.76,1.80,3.07,3.76,2.19,2.11,2.22,,Maybe,N,,,,,,,,female,f,female w/ eggs,yes,Y
23,20806,R20806,Anilios,bituberculatus,-32.85,135.95,,242,6,0.025,"round to point, no spur",3.72,2.75,3.18,2.34,1.63,2.49,2.78,1.58,1.51,1.55,5.171,Y,Y,211,13,,,,,,female,f,female w/ eggs,yes,Y
24,28597,R28597,Anilios,bituberculatus,-32.48,135.37,,264,5,0.019,"round to point, no spur",4.03,2.90,3.08,2.08,1.69,2.69,3.16,1.68,1.41,1.73,5.537,Y,Y,220,13,,,,,,female,f,female w/ ovaries and two small eggs,yes,Y
25,40019,R40019,Anilios,bituberculatus,-27.1836,140.1461,,364,5,0.014,"round to point, no spur",5.06,3.43,3.56,2.72,1.84,2.85,3.78,2.09,1.66,2.01,6.691,Y,Y,269,14,,,,,,female,f,female w/ small eggs,yes,Y
26,44731,R44731,Anilios,bituberculatus,-27.5561,134.4250,,261,4,0.015,"round to point, no spur",3.79,2.40,2.87,2.03,1.75,2.47,3.06,1.50,1.36,1.41,5.345,Y,Y,239,14,Y,,,,,female,f,female w/ ovaries,yes,Y
27,44841,R44841,Anilios,bituberculatus,-26.2486,131.7933,,256,4,0.016,"round to point, no spur",2.98,2.25,2.79,2.19,1.54,2.55,2.37,1.64,1.32,1.40,5.081,Y,Y,250,12,Y,,,shriveled,,female,f,female w/ ovaries/follicles,yes,Y
28,59212,R59212,Anilios,bituberculatus,-34.0130556,138.08500000,,363,7,0.019,"round to point, no spur",5.61,3.88,4.10,2.86,1.90,3.37,3.53,2.20,1.76,2.02,6.445,Y,Y,214,12,,,,digital and manual measurement 363mm svl,,female,f,female w/ small eggs,yes,Y
29,63990,R63990,Anilios,bituberculatus,-32.7236,137.8972,,258,5,0.019,"round to point, no spur",4.19,2.69,3.04,2.07,1.55,2.68,2.52,1.63,1.21,1.13,5.427,Y,Y,220,12,Y,,,,,female,f,female w/ small eggs,yes,Y
30,70271,R70271,Anilios,bituberculatus,-29.8892,133.5833,,376,6,0.016,"round to point, no spur",6.86,3.56,3.86,2.62,2.30,3.10,3.43,2.08,1.77,1.93,6.174,Y,Y,235,13,,,,svl 376 with ruler measurements; using ruler for everything from now on; funky color with orange speckles,,female,f,female w/ eggs,yes,Y
