order,plainNumber,photograph,xray,RegNo,genus database,species database,latitude,longitude,jar note,svl,tail length,ratio,tail shape,midbody diameter,midtail diameter,head width,head depth,ant nostril to ant eyes,distance between eyes (closest),distance from forehead between eyes to snout,lower lip to snout,mouth width,tip of mouth to head depth,headlength_xray,X-RAY?,precloacal_vert,postcloacal_vert,headlength,database svl,ryan's svl,remeasure?,tissue,age,age literature,Notes,sex database,sex dissect,predicted sex/reason,confidence
1,75461,y,y,R75461,Anilios,unguirostris,-16.5833,128.8000,1,411,6,0.015,pointy,6.88,4.09,4.02,3.31,3.05,3.15,4.77,2.45,2.20,2.09,7.49,y,221,13,7.485,,433.79,23,,,,,0,f,eggs,yes
2,70725,y,y,R70725,Anilios,unguirostris,-16.6333,125.9167,1,445,6,0.013,pointy,7.61,5.01,4.28,2.78,3.13,3.49,4.27,2.14,1.92,2.19,7.33,y,238,14,7.326,,450.97,6,,,,,,f,eggs,yes
3,117861,y,y,R117861,Anilios,unguirostris,-17.6630,124.9333,1,251,4,0.016,pointy,3.45,3.34,3.02,2.19,2.15,2.51,3.00,1.61,1.47,1.52,5.78,y,242,11,5.779,270,255.5,5,,,,,,m,male size but not sure,tail
4,125664,y,y,R125664,Anilios,pinguis,-31.5675,115.7114,5,258,8,0.031,pointy spur,9.00,6.92,6.79,4.46,3.72,4.71,4.89,2.27,2.97,2.97,9.20,y,151,12,9.195,276,#N/A,#N/A,,,,,Male,m,hemipene,yes
5,96220,y,y,R96220,Anilios,pinguis,-32.0500,115.9500,5,285,16,0.056,pointy spur,11.50,9.96,7.82,5.47,4.17,5.79,6.27,2.82,3.63,3.88,9.80,y,143,16,9.802,,#N/A,#N/A,,,,,,m,testes,yes
6,82627,y,y,R82627,Anilios,pinguis,-31.9833,115.9667,5,363,19,0.052,pointy spur,11.92,9.48,8.75,5.73,4.62,7.15,6.88,3.12,4.89,4.34,11.11,y,151,12,11.11,375.00,#N/A,#N/A,,,,,,f,eggs,yes
7,146959,y,y,R146959,Anilios,howi,-14.3000,126.6333,,262,4,0.015,taper point,2.43,2.30,1.96,1.33,1.15,1.61,1.78,0.86,0.79,1.19,4.13,y,297,8,4.131,268,268.5,7,,,,,Unknown,f,based on ratio,tail
8,146381,y,y,R146381,Anilios,howi,-14.3000,126.6333,,171,3,0.018,taper point,1.93,1.64,1.69,1.37,1.02,1.62,1.51,0.97,0.85,0.88,3.47,y,295,7,3.467,,172.74,2,,,,,,f,based on ratio,tail
9,141536,y,y,R141536,Anilios,howi,-14.3000,126.6333,,217,4,0.018,taper point,3.11,2.25,2.10,1.33,1.27,1.89,1.63,0.98,0.91,0.99,4.02,y,295,14,4.015,,218.4,1,,,,,Female,f,,yes
10,23560,y,y,R23560,Anilios,tovelli,-12.3500,130.8667,,128,4,0.031,taper point,3.14,1.97,2.28,1.49,1.24,1.86,1.66,1.05,1.20,1.09,4.26,y,146,10,4.261,,#N/A,#N/A,,,,,,f,eggs,yes
11,163269,y,y,R163269,Anilios,margaretae,-28.6883,125.8483,,286,3,0.010,taper point,3.52,2.79,2.69,2.13,1.86,2.04,3.08,1.92,1.09,1.70,4.48,y,281,9,4.475,,#N/A,#N/A,,,,,,,cannot dissect,
12,135344,y,y,R135344,Anilios,australis,-32.6833,115.7000,13,180,8,0.044,taper point,4.85,3.72,3.13,2.27,2.05,2.69,3.28,1.44,1.55,1.82,5.92,y,153,17,5.916,,#N/A,#N/A,,,,,Male,m,hemipene,yes
13,135343,y,h,R135343,Anilios,australis,-32.6833,115.7000,13,237,6,0.025,taper point,6.20,3.77,3.85,2.82,2.42,3.43,3.59,1.81,1.77,2.08,6.94,y,,,6.936,,#N/A,#N/A,,,,,,f,eggs,yes
14,140516,y,y,R140516,Anilios,australis,-30.6138,115.2508,13,148,7,0.047,taper point,3.84,2.94,2.80,2.08,1.68,2.22,2.50,1.14,1.36,1.32,4.72,y,154,13,4.722,,#N/A,#N/A,,,,,,m,testes,yes
15,141875,y,h,R141875,Anilios,australis,-33.6480,115.4164,13,168,7,0.042,taper point,3.90,3.71,2.94,2.23,2.02,2.51,2.81,1.47,1.65,1.75,5.76,y,,,5.761,,#N/A,#N/A,,,,,Male,m,hemipene,yes
16,136224,y,h,R136224,Anilios,australis,-33.0855,117.6972,13,220,7,0.032,taper point,4.96,4.10,3.63,2.61,2.32,2.88,3.60,1.87,1.67,1.96,6.79,y,,,6.794,,#N/A,#N/A,,,,,,f,eggs,yes
17,137473,y,h,R137473,Anilios,australis,-33.5500,115.8500,13,266,7,0.026,taper point,5.28,4.61,4.21,2.88,2.70,3.37,4.23,2.07,1.65,2.20,7.93,y,,,7.931,,283.29,17,,,,confident in my measurements,,f,size,tail
18,134937,y,y,R134937,Anilios,australis,-31.4000,116.1500,13,265,7,0.026,taper point,6.87,4.17,4.25,2.84,2.90,3.46,4.08,1.80,1.74,2.21,7.95,y,160,14,7.952,,279.76,15,,,,confident in my measurements,,f,eggs,yes
19,134504,y,y,R134504,Anilios,australis,-32.6930,119.3397,13,268,9,0.034,taper point,7.80,5.43,4.40,3.15,2.66,4.09,3.51,2.09,2.25,1.90,8.08,y,161,14,8.075,,#N/A,#N/A,,,,,Female,f,eggs,yes
