"","species","mean_PC1","mean_PC2","c_size","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","body_PC1","body_PC2","body_PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3","mean_bulk","max_bulk","mean_sand_per","mean_silt_per","mean_clay_per","temp_mean","temp_max","BIO5","BIO6","BIO13","BIO14","ARID","sum","mean_svl","mean_width","max_svl","max_width","mean_bulk_cat","arid_category","biome_binary","biome","arid_cat"
"Anilios_grypusET","Anilios_grypusET",0.147080541549581,-0.0417700299903096,0.835141007210371,264.25,-4.58021185825484,-4.94885792508525,-4.75137015462858,-5.3892769523357,-5.08387053318937,-4.07344294707081,-3.56527789555805,0.151572583844298,-0.511933178392939,5.5713090838478,1.497866136777,3.15817599147014,0.122882626112363,0.374228687645851,1.43589429972602,1.49723017215729,55.7664402195665,10.5644403363838,30.2193654795162,23.9691257164127,26.845832824707,37.937704868004,7.62295081967213,75.8524590163934,6.67213114754098,0.130596721311475,96.5502460354664,264.25,2.735,305,3.5,"Hard","Arid","arid","nonarid","Arid"
"Anilios_affinis","Anilios_affinis",0.0856296833329936,-0.0162491956784489,0.824895551772815,209.673076923077,-4.16509620922211,-4.44357825821036,-4.54223785736004,-5.09874399082435,-4.84517714263131,-4.13628997584935,-1.17774887571586,-0.167047898533018,0.00382887717450893,5.332375737139,1.24522585862369,1.02070023558556,-0.72500065326498,-0.257084768115698,1.38284162059426,1.49232912063599,59.6781946122646,13.2530428469181,25.3529315590858,21.9248698055744,24.2374992370605,33.171874910593,8.21718747168779,135.03125,17.453125,0.3348296875,98.2841690182686,209.673076923077,3.25711538461538,266,4.405,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_aspina","Anilios_aspina",-0.115232653402852,-0.0391250741275271,0.814781626762992,249,-4.26251485647011,-4.57951859538838,-4.60958150000226,-5.28176853917627,-5.01146120152384,-3.98244460294202,-2.21463932382005,0.179688316694235,0.214443819128546,5.51415121965355,1.53170661671153,1.75273143672657,0.0518054194884054,-0.345799723377473,1.403795282046,1.43163883686066,37.2033875783285,13.4406000773112,41.3451093037923,23.9749997456868,25.3374996185303,37.0333340962728,7.93333339691162,98.3333333333333,10,0.173833333333333,91.989096959432,249,3.51,277.5,3.8,"Medium","Arid","nonarid","nonarid","Arid"
"Anilios_howi","Anilios_howi",-0.0128712336237849,-0.000386982469398136,0.816946210981499,210.75,-4.46995714244794,-4.65045661093889,-4.68757432068177,-5.33933699936733,-5.03998556966345,-4.07290146763211,-2.4987802423055,-0.106487616513143,0.211942948334015,5.33814890067728,1.41574012003399,2.40994943210624,-0.0317491437105398,-0.139538352837807,1.47796475887299,1.49343979358673,85.7233543395996,2.83332026004791,11.410409450531,27.6333332061768,27.9458332061768,36.75,14.75,324,0,0.50125,99.9670840501785,210.75,2.69,262,3.29,"Hard","Dry sub-humid","nonarid","nonarid","Dry sub-humid"
"Anilios_guentheri","Anilios_guentheri",-0.0138080592788799,-0.00652600832777363,0.830035834151072,224.884615384615,-4.37647707258559,-4.73231869025873,-4.68959313068163,-5.34792177059515,-5.10071748473667,-4.12828185471848,-2.91170475539825,0.195314028871859,0.0620995609723738,5.3977062853064,1.25045759566135,2.55686504250925,-0.185124151406335,-0.227179158062333,1.43907205263774,1.51240956783295,69.8821972741021,8.14290357960595,18.559301994465,27.4283178823966,28.7666664123535,37.8333331920483,14.3092592910484,236.314814814815,0.814814814814815,0.384483333333333,96.5844028481731,224.884615384615,2.79961538461538,271,3.455,"Hard","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_tovelli","Anilios_tovelli",-0.139991525063023,-0.00662451027711963,0.826211379067295,122.821428571429,-3.64290520589058,-4.04065244607777,-3.95735678659847,-4.64784520636131,-4.35970877617058,-3.33714289725035,2.30875646420316,-0.123548367173458,-0.177078120456293,4.79828392968909,1.46114103243874,-3.00463964478086,0.54023751058272,0.189780334741641,1.34423298358917,1.43962037563324,72.6210783386231,10.4705417060852,17.5659420394897,27.2760415871938,28.0458335876465,34.3250001271566,18.0874998172124,360.833333333333,1.33333333333333,0.69292,100.657562084198,122.821428571429,3.19678571428571,163.5,4.1,"Medium","Humid","nonarid","nonarid","Humid"
"Anilios_broomi","Anilios_broomi",-0.00705987590268632,-0.0467524871572581,0.821426297058815,164.6875,-3.99930638804064,-4.34431054705453,-4.39628679513534,-4.96180487604248,-4.68622193399008,-4.00060269531561,-0.253047277109591,0.151640337523722,-0.0303843311906174,5.07882044563164,1.33835508060833,-0.0511788113184044,-0.649001090784266,-0.140534082227751,1.38395647207896,1.48235273361206,63.3573259626116,12.8240415255229,21.2038481121972,23.817261832101,26.3166656494141,32.6761906941732,13.4761905216035,269.714285714286,7.52380952380952,0.528352380952381,97.3852156003316,164.6875,3.0165625,210,4.17,"Medium","Dry sub-humid","nonarid","nonarid","Dry sub-humid"
"Anilios_ammodytes","Anilios_ammodytes",-0.118488090514984,0.00848834468584943,0.8423242767003,219.1,-4.03293006290085,-4.63712703522317,-4.46786481903357,-5.2095258413927,-4.87392585196038,-3.9593459573805,-1.17980560081267,-0.180064000430939,0.319254318166811,5.37823994440451,1.48192731168312,1.04542522695036,-0.122247973964543,-0.254059410976818,1.49377644436914,1.6551513671875,79.2695814168678,4.43498631843231,14.1540085414671,26.1577043353387,27.625,39.5987421191713,11.2603773560914,83.1446540880503,1.30817610062893,0.108064779874214,97.8585762767672,219.1,3.861,298,4.62,"Hard","Arid","arid","arid","Arid"
"Anilios_diversus","Anilios_diversus",-0.0599719433279926,0.00196995964345932,0.837711786969592,201.5,-4.17766109302851,-4.675746800879,-4.45799003915419,-5.18147471462651,-4.89523371887766,-4.00516278132076,-1.40041257669691,-0.171083924177408,-0.0209400251444273,5.29654419909013,1.33597713346427,1.29105310115416,-0.217007483311814,0.0298766969878235,1.44057590129764,1.54588949680328,74.3074661432311,7.49880950866744,16.6779351589292,26.3902387036964,28.3624992370605,36.9934271870644,12.8319248806143,199.183098591549,1.9906103286385,0.328618139534884,98.4842108108276,201.5,3.10423076923077,257,4.23,"Hard","Semi-Arid","arid","arid","Semi-Arid"
"Anilios_margaretae","Anilios_margaretae",0.0792171772942684,0.0430858999807151,0.830290711079051,264.75,-4.54797210165244,-4.8854489835515,-4.79098654808998,-5.26354563945396,-5.04745862464559,-4.25903354363857,-3.38996395676702,0.661920395362936,-0.537522094412477,5.57340738664552,1.31437384300695,3.03707524020825,-0.581178010838843,0.40845194406422,1.45190451145172,1.4833083152771,84.4531845092773,6.98003549575806,8.07470254898071,19.9183334350586,21.6708335876465,35.1600006103516,5.26000003814697,26.6,10.2,0.0724,99.5079225540161,264.75,2.8175,297,3.52,"Hard","Arid","arid","arid","Arid"
