"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R21665","Anilios","nema",-12.43,130.83,"pointy","m","MAGNT","21665","MAGNT_R21665",0.01,267.5,3,3.37,2.225,2.45,1.75,1.425,1.8,1.815,0.865,1.13,1.55,4.467,328,10,"yes",270.5
"R14324","Anilios","fossor",-23.467,134.967,"pointy","f","MAGNT","14324","MAGNT_R14324",0.021,242,5,4.75,3.18,2.39,1.865,1.465,1.805,2.095,1.05,1.39,1.495,5.149,250,12,"yes",247
"R34490","Anilios","centralis",-23.7,133.87,"pointy","m","MAGNT","34490","MAGNT_R34490",0.04,257.5,10,5.295,4.415,3.665,3.055,1.795,2.78,3.13,1.545,2.235,2.135,5.25,217,15,"yes",267.5
"R34491","Anilios","centralis",-23.8,133.733,"pointy","m","MAGNT","34491","MAGNT_R34491",0.029,295.5,8.5,4.81,4.07,3.555,2.585,2.14,2.725,3.09,1.65,1.57,2.025,5.1,215,15,"tail",304
"R34494","Anilios","centralis",-23.7,133.88,"pointy","f","MAGNT","34494","MAGNT_R34494",0.02,208,5,4.305,3.59,2.84,2.625,1.545,2.265,2.885,1.37,1.59,1.78,5.43,208,18,"tail",213
"R34492","Anilios","centralis",-23.767,133.883,"pointy","f","MAGNT","34492","MAGNT_R34492",0.018,284,5,4.055,3.165,3.22,2.58,1.825,2.285,2.925,1.39,1.635,2.03,5.719,243,13,"tail",289
"R34493","Anilios","centralis",-23.7,133.88,"pointy","m","MAGNT","34493","MAGNT_R34493",0.03,159,5,2.795,2.795,2.505,1.81,1.315,1.87,2.11,1.01,1.165,1.66,4.595,208,14,"tail",164
"R16047","Anilios","nema",-12.4,130.9,"pointy","m","MAGNT","16047","MAGNT_R16047",0.025,182.5,4.5,2.45,1.76,1.82,1.195,1.04,1.34,1.54,0.67,0.82,1.025,3.595,299,25,"yes",187
"R34110","Anilios","nema",-12.42,130.88,"pointy","f","MAGNT","34110","MAGNT_R34110",0.02,127.5,3,1.84,1.43,1.7,1.34,0.965,1.37,1.195,0.835,0.66,0.96,6.135,319,17,"tail",130.5
"R27556","Anilios","nema",-12.394,130.877,"pointy","f","MAGNT","27556","MAGNT_R27556",0.016,250,4,2.7,2.145,2.345,1.63,1.5,1.57,1.82,0.88,1,1.375,4.497,319,13,"tail",254
"R27696","Anilios","nema",-13.03,131,"pointy","m","MAGNT","27696","MAGNT_R27696",0.05,211,11,2.595,2.33,1.945,1.355,1.215,1.35,1.385,0.965,0.755,1.13,3.879,322,17,"yes",222
"R07521","Anilios","minimus",-13.883,136.767,"pointy","f","MAGNT","7521","MAGNT_R07521",0.023,175,4,2.305,1.81,1.965,1.355,1.195,1.425,1.605,0.765,0.875,1.125,4.482,208,12,"tail",179
"R09874","Anilios","minimus",-13.97,136.43,"pointy","m","MAGNT","9874","MAGNT_R09874",0.02,211,4.5,2.905,2.295,2.095,1.465,1.23,1.705,1.635,0.755,1.16,1.32,4.313,255,10,"yes",215.5
