"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R21665","Anilios","nema",-12.43,130.83,"pointy","m","MAGNT","21665","MAGNT_R21665",0.01,267.5,3,-4.37420682197179,-4.78936265071786,-4.69303154177943,-5.15086463540491,-5.02950377840064,-4.49050727766795
"R14324","Anilios","fossor",-23.467,134.967,"pointy","f","MAGNT","14324","MAGNT_R14324",0.021,242,5,-3.93079310811014,-4.3320565293646,-4.61764436021327,-5.08681151931404,-4.86567667306091,-3.87949981372259
"R34490","Anilios","centralis",-23.7,133.87,"pointy","m","MAGNT","34490","MAGNT_R34490",0.04,257.5,10,-3.88425674105042,-4.06601188604787,-4.25219138476518,-4.7925530734232,-4.43424012748023,-3.24843462710975
"R34491","Anilios","centralis",-23.8,133.733,"pointy","m","MAGNT","34491","MAGNT_R34491",0.029,295.5,8.5,-4.11797175272848,-4.28502583739165,-4.42031377359095,-4.98309913628765,-4.73894332888576,-3.54860267334988
"R34494","Anilios","centralis",-23.7,133.88,"pointy","f","MAGNT","34494","MAGNT_R34494",0.02,208,5,-3.87776094182162,-4.05938587720113,-4.2937340275282,-4.76092471539732,-4.37245718365773,-3.72810016726722
"R34492","Anilios","centralis",-23.767,133.883,"pointy","f","MAGNT","34492","MAGNT_R34492",0.018,284,5,-4.24902355059383,-4.49682118256507,-4.47959287860489,-4.94093844510751,-4.70118483922768,-4.03953632572711
"R34493","Anilios","centralis",-23.7,133.88,"pointy","m","MAGNT","34493","MAGNT_R34493",0.03,159,5,-4.04107209561317,-4.04107209561317,-4.1506154676834,-4.56208659985178,-4.4755773569425,-3.45946628978613
"R16047","Anilios","nema",-12.4,130.9,"pointy","m","MAGNT","16047","MAGNT_R16047",0.025,182.5,4.5,-4.31066214846591,-4.64143636397249,-4.60791367193384,-5.18205756043217,-5.02860398763907,-3.70267277624627
"R34110","Anilios","nema",-12.42,130.88,"pointy","f","MAGNT","34110","MAGNT_R34110",0.02,127.5,3,-4.23835079297759,-4.49044192032667,-4.31748811353631,-4.88893835911874,-4.55544675063566,-3.74950407593037
"R27556","Anilios","nema",-12.394,130.877,"pointy","f","MAGNT","27556","MAGNT_R27556",0.016,250,4,-4.52820914485196,-4.75832136548227,-4.669175515964,-5.20300718674371,-5.03288090304358,-4.13516655674236
