"species","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3"
"Acutotyphlops subocularis",225.5,-3.78129786790169,-4.06887135379116,-4.07233225664553,-5.32332257683537,-4.46635238625113,-2.86773406136877,1.1293656836699,-1.80146072039114,0.689217673301771,5.37967432179191,2.51194026042314,-1.98717199060382,2.76896248908882,-0.828927814944104
"Anilios affinis",209.673076923077,-4.16509620922211,-4.44357825821036,-4.54223785736004,-5.09874399082435,-4.84517714263131,-4.13628997584935,-1.17774887571586,-0.167047898533018,0.00382887717450893,5.332375737139,1.24522585862369,1.02070023558556,-0.72500065326498,-0.257084768115698
"Anilios ammodytes",219.1,-4.03293006290085,-4.63712703522317,-4.46786481903357,-5.2095258413927,-4.87392585196038,-3.9593459573805,-1.17980560081267,-0.180064000430939,0.319254318166811,5.37823994440451,1.48192731168312,1.04542522695036,-0.122247973964543,-0.254059410976818
"Anilios aspina",249,-4.26251485647011,-4.57951859538838,-4.60958150000226,-5.28176853917627,-5.01146120152384,-3.98244460294202,-2.21463932382005,0.179688316694235,0.214443819128546,5.51415121965355,1.53170661671153,1.75273143672657,0.0518054194884054,-0.345799723377473
"Anilios australis",245.25,-3.7605312133279,-3.98441286441436,-4.07053797830161,-4.72402794652166,-4.39399180956633,-3.56366758480073,1.91301562389625,-0.262688506955125,-0.0790069522817322,5.48318553245594,1.99122100927104,-2.41390412114022,0.0456324239412995,-0.0651974587841611
"Anilios batillus",313,-3.9544437213121,-4.13676527810605,-4.2201468870451,-4.829912458666,-4.4324795222551,-3.80029304148484,0.788215038474005,0.545899075473158,-0.226286168799994,5.74620319054015,1.94591014905531,-1.34686236510783,-0.386661930297079,0.0689733574524827
"Anilios bicolor",308.833333333333,-3.55567117161403,-3.98120541656611,-3.84955776041906,-4.47488580820295,-4.15760302676666,-3.55773533862388,3.08299489987724,0.417648601247193,-0.463298951745674,5.71396728818766,2.26637956268873,-3.64998692825852,-0.424469204212619,0.411164751752823
"Anilios bituberculatus",284.466666666667,-4.14808510149835,-4.53691076890175,-4.44025783466711,-5.1356401833955,-4.77616672865329,-4.05710978093485,-1.24075377598884,0.414296083065748,-0.111937098405026,5.63271105665415,1.6915028826133,0.867028502090482,-0.493857075560539,-0.0731223780223315
"Anilios broomi",164.6875,-3.99930638804064,-4.34431054705453,-4.39628679513534,-4.96180487604248,-4.68622193399008,-4.00060269531561,-0.253047277109591,0.151640337523722,-0.0303843311906174,5.07882044563164,1.33835508060833,-0.0511788113184044,-0.649001090784266,-0.140534082227751
"Anilios centralis",271.04,-4.08790207020388,-4.40127546365986,-4.50227088656362,-5.04057254354074,-4.7882764483674,-3.96406690413707,-0.55318764907013,0.194749475921965,-0.02818123238508,5.59049421848555,1.65774413082832,0.493376777606999,-0.359495758341892,-0.174195544950712
