"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tail"
"R21665","Anilios","Anilios nema",-12.43,130.83,"pointy","m","MAGNT","21665","MAGNT_R21665",0.01,267.5,3,-4.37420682197179,-4.78936265071786,-4.69303154177943,-5.15086463540491,-5.02950377840064,-4.49050727766795,-2.89228653398917,1.38686264693868,-0.292257912504256,5.58911956633606,1.09861228866811
"R14324","Anilios","Anilios fossor",-23.467,134.967,"pointy","f","MAGNT","14324","MAGNT_R14324",0.021,242,5,-3.93079310811014,-4.3320565293646,-4.61764436021327,-5.08681151931404,-4.86567667306091,-3.87949981372259,-0.965633780123927,0.24374763012925,0.662368119941545,5.48893772615669,1.6094379124341
"R34490","Anilios","Anilios centralis",-23.7,133.87,"pointy","m","MAGNT","34490","MAGNT_R34490",0.04,257.5,10,-3.88425674105042,-4.06601188604787,-4.25219138476518,-4.7925530734232,-4.43424012748023,-3.24843462710975,1.33693919077672,-0.704196292693151,-0.183575168694647,5.55101972010379,2.30258509299405
"R34491","Anilios","Anilios centralis",-23.8,133.733,"pointy","m","MAGNT","34491","MAGNT_R34491",0.029,295.5,8.5,-4.11797175272848,-4.28502583739165,-4.42031377359095,-4.98309913628765,-4.73894332888576,-3.54860267334988,-0.329463122224106,-0.419221575678032,-0.106051421472692,5.68866883684615,2.14006616349627
"R34494","Anilios","Anilios centralis",-23.7,133.88,"pointy","f","MAGNT","34494","MAGNT_R34494",0.02,208,5,-3.87776094182162,-4.05938587720113,-4.2937340275282,-4.76092471539732,-4.37245718365773,-3.72810016726722,1.10839575881295,0.440458697913932,-0.131623176014081,5.33753807970132,1.6094379124341
"R34492","Anilios","Anilios centralis",-23.767,133.883,"pointy","f","MAGNT","34492","MAGNT_R34492",0.018,284,5,-4.24902355059383,-4.49682118256507,-4.47959287860489,-4.94093844510751,-4.70118483922768,-4.03953632572711,-1.04522126311029,0.72099152001076,-0.58256965154511,5.64897423816121,1.6094379124341
"R34493","Anilios","Anilios centralis",-23.7,133.88,"pointy","m","MAGNT","34493","MAGNT_R34493",0.03,159,5,-4.04107209561317,-4.04107209561317,-4.1506154676834,-4.56208659985178,-4.4755773569425,-3.45946628978613,1.45718865489877,-0.135744679643159,-0.765266591379354,5.06890420222023,1.6094379124341
"R16047","Anilios","Anilios nema",-12.4,130.9,"pointy","m","MAGNT","16047","MAGNT_R16047",0.025,182.5,4.5,-4.31066214846591,-4.64143636397249,-4.60791367193384,-5.18205756043217,-5.02860398763907,-3.70267277624627,-2.03919144910046,-0.423170925222689,-0.174042457899788,5.20675017302255,1.50407739677627
"R34110","Anilios","Anilios nema",-12.42,130.88,"pointy","f","MAGNT","34110","MAGNT_R34110",0.02,127.5,3,-4.23835079297759,-4.49044192032667,-4.31748811353631,-4.88893835911874,-4.55544675063566,-3.74950407593037,-0.344670120161604,0.228019515452197,-0.958537123730519,4.84811636459848,1.09861228866811
"R27556","Anilios","Anilios nema",-12.394,130.877,"pointy","f","MAGNT","27556","MAGNT_R27556",0.016,250,4,-4.52820914485196,-4.75832136548227,-4.669175515964,-5.20300718674371,-5.03288090304358,-4.13516655674236,-2.85392866728895,0.451719979922062,-0.541173977508428,5.52146091786225,1.38629436111989
"R27696","Anilios","Anilios nema",-13.03,131,"pointy","m","MAGNT","27696","MAGNT_R27696",0.05,211,11,-4.39827161685821,-4.50598986589846,-4.68659615640566,-5.22964050075182,-5.0480566791444,-2.9539628606777,-1.6812783414111,-2.30995085957303,-0.190832251619921,5.35185813347607,2.39789527279837
"R07521","Anilios","Anilios minimus",-13.883,136.767,"pointy","f","MAGNT","7521","MAGNT_R07521",0.023,175,4,-4.3297052974749,-4.57145912864578,-4.48929372860229,-5.04700293826713,-4.86098451959185,-3.77849161280362,-1.44484597940664,-0.0564379845793543,-0.553564280311834,5.16478597392351,1.38629436111989
"R09874","Anilios","Anilios minimus",-13.97,136.43,"pointy","m","MAGNT","9874","MAGNT_R09874",0.02,211,4.5,-4.28542474317219,-4.52112528996356,-4.61230458010197,-5.07422639687779,-4.97000289100704,-3.84778073669979,-1.72407537417943,-0.00941337322541796,-0.157908621550213,5.35185813347607,1.50407739677627
"R13936","Anilios","Anilios yirrikalae",-13.417,132.1,"pointy","f","MAGNT","13936","MAGNT_R13936",0.029,156,4.5,-3.72810016726722,-3.98687089622458,-4.07529636725141,-4.61160107631838,-4.31030245387544,-3.54577861047326,2.09553126499997,0.297448990003517,-0.243187723690277,5.04985600724954,1.50407739677627
"R16855","Anilios","Anilios yirrikalae",-12.43,130.93,"pointy","m","MAGNT","16855","MAGNT_R16855",0.03,189.5,6,-4.04291935041466,-4.17109454383866,-4.13253150910435,-4.67623833413722,-4.42460919302917,-3.45262955529443,1.221740021962,-0.158753371058419,-0.829297810164386,5.24438902452248,1.79175946922805
"R14447","Anilios","Anilios yirrikalae",-17.317,137.067,"pointy","f","MAGNT","14447","MAGNT_R14447",0.018,192.5,3.5,-3.77395645763823,-4.20927452889608,-4.20404347947852,-4.73241341289543,-4.46484375023074,-4.00733318523247,0.90089938651495,1.18998603392543,-0.085076212469058,5.26009615372784,1.25276296849537
"R36151","Anilios","Anilios tovelli",-11.34,132.59,"pointy","f","MAGNT","36151","MAGNT_R36151",0.03,153,4.5,-3.75089393021943,-4.16123879705213,-4.11614919218895,-4.82749707739575,-4.43435245367562,-3.52636052461616,1.32624006954666,0.0699325131630553,-0.0284212914781618,5.03043792139244,1.50407739677627
"R03422","Anilios","Anilios tovelli",-12.45,131.05,"pointy","m","MAGNT","3422","MAGNT_R03422",0.039,152,6,-3.61289354713601,-3.92693628927886,-4.10160771729457,-4.75767748007162,-4.3899526999463,-3.23212105161822,2.16214792930993,-0.525595038940442,0.300999261850609,5.02388052084628,1.79175946922805
"R08365","Anilios","Anilios tovelli",-12.45,131.05,"pointy","f","MAGNT","8365","MAGNT_R08365",0.03,101,3.5,-3.5384130635612,-4.01903504912445,-3.89972272734649,-4.6201330586648,-4.27508321405555,-3.36235754834589,2.67631327785561,0.0681655434462907,-0.119999627494834,4.61512051684126,1.25276296849537
"R08718","Anilios","Anilios tovelli",-12.45,131.05,"pointy","m","MAGNT","8718","MAGNT_R08718",0.043,115,5,-3.5678167782072,-3.8286413964891,-3.9725117669088,-4.57518935377616,-4.43744742861529,-3.13549421592915,2.78086286211951,-0.603280092846129,0.172048289897865,4.74493212836325,1.6094379124341
"R12045","Anilios","Anilios tovelli",-12.56,131.31,"pointy","f","MAGNT","12045","MAGNT_R12045",0.03,163.5,4.5,-3.80620387935183,-4.2660801468248,-4.02351850965349,-4.63622858300806,-4.51459737048464,-3.59273559356103,1.38207626304298,0.3412859574998,-0.536591507708295,5.09681299033731,1.50407739677627
"R03279","Anilios","Anilios tovelli",-12.7,130.967,"pointy","m","MAGNT","3279","MAGNT_R03279",0.032,124,4,-3.68405241336562,-4.25213087521978,-3.93239030825258,-4.6463282584816,-4.36920594624482,-3.43398720448515,1.95367419881543,0.138922846041182,-0.526833176048728,4.82028156560504,1.38629436111989
"R36155","Anilios","Anilios tovelli",-12.18,136.11,"pointy","m","MAGNT","36155","MAGNT_R36155",0.04,114.5,5,-3.66728034231047,-3.97278409943858,-3.88828942109605,-4.60954656058789,-4.4782105585268,-3.13113691056019,2.49116431742935,-0.634608510760677,-0.158028727901863,4.74057482299429,1.6094379124341
"R04012","Anilios","Anilios tovelli",-12.7,130.967,"pointy","f","MAGNT","4012","MAGNT_R04012",0.037,108,4,-3.53950205303934,-3.79629970273477,-3.82559049965584,-4.57777121179998,-4.25034881069868,-3.29583686600433,3.19146205537833,-0.0710341124080216,0.0331039138390563,4.68213122712422,1.38629436111989
"R36153","Anilios","Anilios tovelli",-11.29,132.22,"pointy","?","MAGNT","36153","MAGNT_R36153",0.04,121,4.5,-3.67086094861126,-3.91202300542815,-3.88150181639326,-4.54114832722316,-4.32578691635101,-3.29171314882047,2.76884935784747,-0.158966042417898,-0.312278651964484,4.79579054559674,1.50407739677627
"R03301","Anilios","Anilios tovelli",-12.55,131.05,"pointy","f","MAGNT","3301","MAGNT_R03301",0.026,95,2.5,-3.52783529576727,-4.21028718721046,-3.85325769620189,-4.67604452557475,-4.37155533480659,-3.63758615972639,2.11958360905161,0.696269262340787,-0.132488205904953,4.55387689160054,0.916290731874155
"R12044","Anilios","Anilios tovelli",-12.56,131.31,"pointy","m","MAGNT","12044","MAGNT_R12044",0.03,128.5,4,-3.59463103339007,-4.12116004908451,-3.84614782937378,-4.66944933739266,-4.3673488895166,-3.46963454321538,2.28593638622756,0.259494319530416,-0.190252057959705,4.85592890433527,1.38629436111989
"R34084","Anilios","Anilios endoterus",-25.35,131.033,"pointy","m","MAGNT","34084","MAGNT_R34084",0.04,198.5,8,-3.93366611630763,-4.19718935328268,-4.22435570982337,-4.91578319950379,-4.50688755629884,-3.21134755844741,0.897423423648133,-0.884166712680696,-0.20447979907675,5.29078910012725,2.07944154167984
"R34092","Anilios","Anilios endoterus",-23.95,133.93,"pointy","f","MAGNT","34092","MAGNT_R34092",0.02,284,7,-4.00031561257382,-4.35699055651256,-4.2210582023505,-4.86735840961365,-4.5272966765621,-3.70306408910589,0.339576823982347,0.281056759852116,-0.479348683997195,5.64897423816121,1.94591014905531
"R34091","Anilios","Anilios endoterus",-24.75,136,"pointy","m","MAGNT","34091","MAGNT_R34091",0.033,276,9,-3.90660293795881,-4.28803484662282,-4.3662103452306,-5.02156436462845,-4.57308187143659,-3.42317628838093,0.243168407742365,-0.517252308026528,0.0944667552792159,5.62040086571715,2.19722457733622
"R34040","Anilios","Anilios endoterus",-25.3,130.72,"pointy","f","MAGNT","34040","MAGNT_R34040",0.03,277,7,-3.92565338455884,-4.17006449659363,-4.21792051777127,-4.88208016145796,-4.4484441763831,-3.67810735713203,0.767662038966263,0.246757157766335,-0.152354251757787,5.62401750618734,1.94591014905531
"R34085","Anilios","Anilios endoterus",-25.35,131.033,"pointy","m","MAGNT","34085","MAGNT_R34085",0.035,185.75,6.5,-4.14769423031781,-4.34063414342927,-4.24984204359974,-5.05465890901077,-4.77651585960575,-3.35259950669628,-0.232006908299556,-0.864187605978121,-0.23033057161344,5.22440168359787,1.87180217690159
"R34083","Anilios","Anilios endoterus",-24.88,134.25,"pointy","f","MAGNT","34083","MAGNT_R34083",0.02,352.5,7.5,-3.85014760171006,-4.1584859990875,-4.38686099642818,-5.05190064929768,-4.73042789606118,-3.85014760171006,-0.091409163374841,0.363308532678704,0.709236360747169,5.86505062225232,2.01490302054226
"R34088","Anilios","Anilios endoterus",-21.006,130.083,"pointy","m","MAGNT","34088","MAGNT_R34088",0.038,158,6,-3.80271459676273,-4.11093715731552,-3.977405764691,-4.5863608540306,-4.29945548064699,-3.27083556379891,2.21486577964224,-0.283758087557829,-0.728264033673274,5.06259503302697,1.79175946922805
"R17582","Anilios","Anilios endoterus",-24,133.9,"pointy","f","MAGNT","17582","MAGNT_R17582",0.02,328,5.5,-3.81063377954744,-4.33323647050445,-4.29562519975867,-4.9865377425172,-4.62363224882783,-4.08826551614572,-0.0590874519840877,1.11196812799598,0.328047046349982,5.79301360838414,1.70474809223843
"R17586","Anilios","Anilios endoterus",-24,133.9,"pointy","f","MAGNT","17586","MAGNT_R17586",0.021,257.5,5.5,-3.96280544412132,-4.17857076580595,-4.21997383321438,-4.95218321901509,-4.63873700962717,-3.84627162786537,0.241348842091613,0.480343660652128,0.124984792163989,5.55101972010379,1.70474809223843
"R17589","Anilios","Anilios endoterus",-24,133.9,"pointy","m","MAGNT","17589","MAGNT_R17589",0.03,168,5.75,-3.86408354313903,-4.0661736852554,-4.13814718488049,-4.91289300932332,-4.48474514086887,-3.374764124594,1.18618188011179,-0.451867672665326,0.0660653832483403,5.12396397940326,1.74919985480926
"R14333","Anilios","Anilios centralis",-24,133.433,"pointy","m","MAGNT","14333","MAGNT_R14333",0.024,273.5,6.5,-4.14112577676144,-4.13997701155757,-4.35426209659941,-4.87174806848793,-4.68902881831033,-3.73949944496044,0.0153718036625189,0.0975503605500245,-0.167960973635857,5.61130162186204,1.87180217690159
"R34053","Anilios","Anilios centralis",-23.7,133.85,"pointy","f","MAGNT","34053","MAGNT_R34053",0.02,249.5,4.5,-3.94254419446303,-4.25392075520748,-4.30306359086708,-4.88024007665718,-4.61321851917092,-4.0153815184153,0.0882001456497055,0.922895892999224,0.004744575573293,5.51945891519157,1.50407739677627
