 ,Label,Area,Mean,Min,Max,X,Y
1,R173075-(0001)-.dcm,0.000,2668,2668,2668,78.918,34.061
2,R173075-(0001)-.dcm,0.000,2558,2558,2558,79.056,34.374
3,R173075-(0001)-.dcm,0.000,2873,2873,2873,79.147,34.801
4,R173075-(0001)-.dcm,0.000,2747,2747,2747,79.216,35.129
5,R173075-(0001)-.dcm,0.000,2718,2718,2718,79.284,35.572
6,R173075-(0001)-.dcm,0.000,2633,2633,2633,79.330,36.052
7,R173075-(0001)-.dcm,0.000,2443,2443,2443,79.376,36.510
8,R173075-(0001)-.dcm,0.000,2713,2713,2713,79.323,37.021
9,R173075-(0001)-.dcm,0.000,2652,2652,2652,79.269,37.471
10,R173075-(0001)-.dcm,0.000,2606,2606,2606,79.216,37.975
11,R173075-(0001)-.dcm,0.000,2902,2902,2902,79.140,38.486
12,R173075-(0001)-.dcm,0.000,2577,2577,2577,79.078,38.929
13,R173075-(0001)-.dcm,0.000,2723,2723,2723,78.987,39.493
14,R173075-(0001)-.dcm,0.000,2779,2779,2779,78.857,40.012
15,R173075-(0001)-.dcm,0.000,2904,2904,2904,78.720,40.501
16,R173075-(0001)-.dcm,0.000,2826,2826,2826,78.583,40.974
17,R173075-(0001)-.dcm,0.000,2514,2514,2514,78.468,41.470
18,R173075-(0001)-.dcm,0.000,2633,2633,2633,78.262,41.981
19,R173075-(0001)-.dcm,0.000,2932,2932,2932,78.026,42.515
20,R173075-(0001)-.dcm,0.000,2985,2985,2985,77.812,43.049
21,R173075-(0001)-.dcm,0.000,3013,3013,3013,77.552,43.545
22,R173075-(0001)-.dcm,0.000,3282,3282,3282,77.308,44.056
23,R173075-(0001)-.dcm,0.000,2925,2925,2925,77.110,44.583
24,R173075-(0001)-.dcm,0.000,3141,3141,3141,76.850,45.109
25,R173075-(0001)-.dcm,0.000,3066,3066,3066,76.606,45.582
26,R173075-(0001)-.dcm,0.000,2971,2971,2971,76.332,46.094
27,R173075-(0001)-.dcm,0.000,3065,3065,3065,76.103,46.628
28,R173075-(0001)-.dcm,0.000,3186,3186,3186,75.790,47.200
29,R173075-(0001)-.dcm,0.000,3084,3084,3084,75.546,47.681
30,R173075-(0001)-.dcm,0.000,3100,3100,3100,75.302,48.199
