 ,Label,Area,Mean,Min,Max,X,Y
1,R146673-(0001)-.dcm,0.000,2988,2988,2988,57.815,83.174
2,R146673-(0001)-.dcm,0.000,2816,2816,2816,57.884,83.575
3,R146673-(0001)-.dcm,0.000,3167,3167,3167,58.077,83.930
4,R146673-(0001)-.dcm,0.000,2732,2732,2732,58.185,84.231
5,R146673-(0001)-.dcm,0.000,2968,2968,2968,58.409,84.539
6,R146673-(0001)-.dcm,0.000,3006,3006,3006,58.671,84.802
7,R146673-(0001)-.dcm,0.000,3041,3041,3041,59.049,85.141
8,R146673-(0001)-.dcm,0.000,2838,2838,2838,59.380,85.442
9,R146673-(0001)-.dcm,0.000,2828,2828,2828,60.013,85.827
10,R146673-(0001)-.dcm,0.000,3207,3207,3207,60.607,86.059
11,R146673-(0001)-.dcm,0.000,2897,2897,2897,61.170,86.267
12,R146673-(0001)-.dcm,0.000,2693,2693,2693,61.756,86.406
13,R146673-(0001)-.dcm,0.000,2591,2591,2591,62.419,86.545
14,R146673-(0001)-.dcm,0.000,2964,2964,2964,63.106,86.614
15,R146673-(0001)-.dcm,0.000,2853,2853,2853,63.792,86.614
16,R146673-(0001)-.dcm,0.000,2897,2897,2897,64.494,86.576
17,R146673-(0001)-.dcm,0.000,2987,2987,2987,65.196,86.475
18,R146673-(0001)-.dcm,0.000,2993,2993,2993,65.859,86.352
19,R146673-(0001)-.dcm,0.000,3249,3249,3249,66.592,86.205
20,R146673-(0001)-.dcm,0.000,3319,3319,3319,67.255,86.097
21,R146673-(0001)-.dcm,0.000,3321,3321,3321,67.949,85.889
22,R146673-(0001)-.dcm,0.000,3311,3311,3311,68.674,85.758
23,R146673-(0001)-.dcm,0.000,3154,3154,3154,69.353,85.635
24,R146673-(0001)-.dcm,0.000,3123,3123,3123,70.039,85.419
25,R146673-(0001)-.dcm,0.000,3253,3253,3253,70.726,85.203
26,R146673-(0001)-.dcm,0.000,3341,3341,3341,71.428,84.994
27,R146673-(0001)-.dcm,0.000,2994,2994,2994,71.975,84.925
28,R146673-(0001)-.dcm,0.000,3038,3038,3038,72.739,84.848
29,R146673-(0001)-.dcm,0.000,3260,3260,3260,73.526,84.732
30,R146673-(0001)-.dcm,0.000,3270,3270,3270,74.320,84.539
31,R146673-(0001)-.dcm,0.000,3171,3171,3171,75.084,84.323
