 ,Label,Area,Mean,Min,Max,X,Y
1,ani_lig_R31019.dcm,0.000,5921,5921,5921,67.647,25.486
2,ani_lig_R31019.dcm,0.000,6398,6398,6398,68.219,25.836
3,ani_lig_R31019.dcm,0.000,4556,4556,4556,68.776,26.170
4,ani_lig_R31019.dcm,0.000,3567,3567,3567,69.667,26.647
5,ani_lig_R31019.dcm,0.000,5567,5567,5567,70.557,27.108
6,ani_lig_R31019.dcm,0.000,4210,4210,4210,71.607,27.871
7,ani_lig_R31019.dcm,0.000,5813,5813,5813,72.513,28.539
8,ani_lig_R31019.dcm,0.000,3228,3228,3228,73.770,29.557
9,ani_lig_R31019.dcm,0.000,4024,4024,4024,74.740,30.766
10,ani_lig_R31019.dcm,0.000,6412,6412,6412,75.456,31.784
11,ani_lig_R31019.dcm,0.000,5352,5352,5352,76.426,32.913
12,ani_lig_R31019.dcm,0.000,4176,4176,4176,77.173,33.851
13,ani_lig_R31019.dcm,0.000,3149,3149,3149,78.048,34.758
14,ani_lig_R31019.dcm,0.000,4314,4314,4314,78.986,35.744
15,ani_lig_R31019.dcm,0.000,5442,5442,5442,79.940,36.746
16,ani_lig_R31019.dcm,0.000,5265,5265,5265,81.165,37.843
17,ani_lig_R31019.dcm,0.000,3752,3752,3752,82.405,39.115
18,ani_lig_R31019.dcm,0.000,6565,6565,6565,83.471,40.388
19,ani_lig_R31019.dcm,0.000,5123,5123,5123,84.219,41.914
20,ani_lig_R31019.dcm,0.000,5286,5286,5286,84.521,43.298
21,ani_lig_R31019.dcm,0.000,5770,5770,5770,84.680,44.793
22,ani_lig_R31019.dcm,0.000,6286,6286,6286,84.680,46.383
23,ani_lig_R31019.dcm,0.000,3791,3791,3791,84.791,48.133
24,ani_lig_R31019.dcm,0.000,3620,3620,3620,84.998,49.628
25,ani_lig_R31019.dcm,0.000,2727,2727,2727,85.332,51.250
26,ani_lig_R31019.dcm,0.000,2540,2540,2540,85.777,52.745
27,ani_lig_R31019.dcm,0.000,5150,5150,5150,85.952,54.144
28,ani_lig_R31019.dcm,0.000,4035,4035,4035,85.729,55.894
29,ani_lig_R31019.dcm,0.000,4951,4951,4951,85.411,57.707
30,ani_lig_R31019.dcm,0.000,3757,3757,3757,84.727,59.584
31,ani_lig_R31019.dcm,0.000,5271,5271,5271,84.203,61.412
32,ani_lig_R31019.dcm,0.000,5000,5000,5000,83.423,63.321
33,ani_lig_R31019.dcm,0.000,3812,3812,3812,82.549,64.943
34,ani_lig_R31019.dcm,0.000,4276,4276,4276,81.578,66.533
35,ani_lig_R31019.dcm,0.000,4964,4964,4964,80.529,68.060
36,ani_lig_R31019.dcm,0.000,5250,5250,5250,79.400,69.444
37,ani_lig_R31019.dcm,0.000,5976,5976,5976,78.127,70.923
38,ani_lig_R31019.dcm,0.000,5485,5485,5485,76.935,72.354
39,ani_lig_R31019.dcm,0.000,4881,4881,4881,75.487,73.802
40,ani_lig_R31019.dcm,0.000,5046,5046,5046,74.008,75.042
41,ani_lig_R31019.dcm,0.000,4031,4031,4031,72.450,76.203
42,ani_lig_R31019.dcm,0.000,3491,3491,3491,70.812,77.364
43,ani_lig_R31019.dcm,0.000,4988,4988,4988,69.174,78.255
44,ani_lig_R31019.dcm,0.000,4076,4076,4076,67.249,79.161
45,ani_lig_R31019.dcm,0.000,3639,3639,3639,65.357,79.845
46,ani_lig_R31019.dcm,0.000,3282,3282,3282,63.400,80.370
47,ani_lig_R31019.dcm,0.000,3623,3623,3623,61.397,80.767
48,ani_lig_R31019.dcm,0.000,3855,3855,3855,59.456,80.879
49,ani_lig_R31019.dcm,0.000,3783,3783,3783,57.452,80.895
50,ani_lig_R31019.dcm,0.000,4940,4940,4940,55.528,80.672
51,ani_lig_R31019.dcm,0.000,4348,4348,4348,53.492,80.290
52,ani_lig_R31019.dcm,0.000,3539,3539,3539,51.473,79.845
53,ani_lig_R31019.dcm,0.000,3891,3891,3891,49.580,79.225
54,ani_lig_R31019.dcm,0.000,5108,5108,5108,47.656,78.541
55,ani_lig_R31019.dcm,0.000,3373,3373,3373,45.604,77.587
56,ani_lig_R31019.dcm,0.000,3225,3225,3225,43.743,76.632
57,ani_lig_R31019.dcm,0.000,4310,4310,4310,41.930,75.758
58,ani_lig_R31019.dcm,0.000,4075,4075,4075,40.229,74.660
59,ani_lig_R31019.dcm,0.000,3708,3708,3708,38.432,73.499
60,ani_lig_R31019.dcm,0.000,4271,4271,4271,36.889,72.211
61,ani_lig_R31019.dcm,0.000,4010,4010,4010,35.314,70.843
62,ani_lig_R31019.dcm,0.000,3262,3262,3262,33.883,69.301
63,ani_lig_R31019.dcm,0.000,3633,3633,3633,32.722,67.631
64,ani_lig_R31019.dcm,0.000,3876,3876,3876,31.641,65.850
65,ani_lig_R31019.dcm,0.000,3657,3657,3657,30.686,64.084
66,ani_lig_R31019.dcm,0.000,3581,3581,3581,29.907,62.192
67,ani_lig_R31019.dcm,0.000,4849,4849,4849,29.287,60.188
68,ani_lig_R31019.dcm,0.000,3961,3961,3961,28.682,58.120
69,ani_lig_R31019.dcm,0.000,3847,3847,3847,28.349,55.973
70,ani_lig_R31019.dcm,0.000,3801,3801,3801,28.237,53.890
71,ani_lig_R31019.dcm,0.000,4461,4461,4461,28.205,51.870
72,ani_lig_R31019.dcm,0.000,5107,5107,5107,28.539,49.755
73,ani_lig_R31019.dcm,0.000,6195,6195,6195,28.921,47.751
74,ani_lig_R31019.dcm,0.000,4125,4125,4125,29.509,45.652
75,ani_lig_R31019.dcm,0.000,5152,5152,5152,30.066,43.727
76,ani_lig_R31019.dcm,0.000,4830,4830,4830,30.814,41.819
