 ,Label,Area,Mean,Min,Max,Angle,Length
1,R146673-(0001)-.dcm,0.018,3193.532,2898.000,3507.333,-81.314,0.558
2,R146673-(0001)-.dcm,0.016,3022.768,2878.289,3197.952,-52.765,0.481
3,R146673-(0001)-.dcm,0.010,3209.203,3088.562,3451.000,-37.747,0.300
4,R146673-(0001)-.dcm,0.014,3395.526,3212.564,3684.568,-44.293,0.438
5,R146673-(0001)-.dcm,0.019,3365.153,3164.646,3625.793,-35.972,0.586
6,R146673-(0001)-.dcm,0.018,3328.082,3146.500,3578.750,-30.141,0.549
7,R146673-(0001)-.dcm,0.019,3213.058,2954.516,3597.625,158.062,0.594
8,R146673-(0001)-.dcm,0.022,3219.274,2837.893,3665.787,163.872,0.661
9,R146673-(0001)-.dcm,0.022,3268.291,2972.188,3649.001,164.859,0.674
10,R146673-(0001)-.dcm,0.022,3190.726,2862.442,3620.875,174.094,0.670
11,R146673-(0001)-.dcm,0.022,3129.391,2730.500,3651.125,174.864,0.684
12,R146673-(0001)-.dcm,0.022,3205.154,2872.823,3643.062,178.002,0.659
13,R146673-(0001)-.dcm,0.023,3155.806,2825.364,3629.500,-176.820,0.690
14,R146673-(0001)-.dcm,0.022,3070.087,2643.762,3606.698,-175.347,0.661
15,R146673-(0001)-.dcm,0.022,3153.143,2644.273,3692.062,-172.711,0.664
16,R146673-(0001)-.dcm,0.022,3266.754,2836.727,3934.375,-170.327,0.683
17,R146673-(0001)-.dcm,0.022,3346.102,2943.816,3928.812,-171.404,0.666
18,R146673-(0001)-.dcm,0.023,3413.627,2957.514,3960.500,-170.838,0.721
19,R146673-(0001)-.dcm,0.023,3427.400,3119.488,3952.000,-168.207,0.712
20,R146673-(0001)-.dcm,0.021,3374.645,3111.957,3789.938,-167.106,0.652
21,R146673-(0001)-.dcm,0.022,3379.607,3043.795,3835.000,-169.461,0.670
22,R146673-(0001)-.dcm,0.023,3363.074,2990.766,3986.000,-166.264,0.709
23,R146673-(0001)-.dcm,0.023,3400.469,3082.125,3960.688,-165.677,0.743
24,R146673-(0001)-.dcm,0.024,3456.844,3203.684,3988.000,-169.487,0.755
25,R146673-(0001)-.dcm,0.021,3411.834,3074.250,3888.897,-175.292,0.653
26,R146673-(0001)-.dcm,0.025,3360.178,2997.152,3869.799,-171.714,0.797
27,R146673-(0001)-.dcm,0.024,3330.567,3070.722,3765.500,-171.209,0.751
28,R146673-(0001)-.dcm,0.023,3375.781,3228.576,3616.973,-165.816,0.719
29,R146673-(0001)-.dcm,0.024,3413.863,3225.054,3607.131,-161.030,0.777
30,R146673-(0001)-.dcm,0.025,3433.781,3166.036,3827.000,-161.565,0.799
31,R146673-(0001)-.dcm,0.025,3415.730,3244.636,3681.910,-160.866,0.794
32,R146673-(0001)-.dcm,0.024,3325.534,3039.648,3552.018,-155.980,0.771
33,R146673-(0001)-.dcm,0.025,3147.671,2743.603,3514.609,-157.681,0.786
34,R146673-(0001)-.dcm,0.023,3197.408,2875.355,3516.200,-158.962,0.746
35,R146673-(0001)-.dcm,0.025,3026.343,2840.469,3308.250,-155.148,0.801
36,R146673-(0001)-.dcm,0.027,3158.270,2872.187,3326.314,-154.134,0.842
37,R146673-(0001)-.dcm,0.026,3163.401,2857.264,3551.312,-154.148,0.825
38,R146673-(0001)-.dcm,0.025,3235.773,2977.544,3631.750,-151.736,0.808
39,R146673-(0001)-.dcm,0.026,3028.374,2619.167,3454.651,-152.716,0.818
40,R146673-(0001)-.dcm,0.023,3044.165,2664.142,3513.750,-150.333,0.696
41,R146673-(0001)-.dcm,0.023,3049.350,2735.000,3400.498,-142.539,0.743
42,R146673-(0001)-.dcm,0.025,2993.141,2654.488,3336.175,-136.153,0.807
43,R146673-(0001)-.dcm,0.023,3028.773,2667.500,3440.917,-129.036,0.729
44,R146673-(0001)-.dcm,0.023,3161.656,2914.079,3498.699,-122.998,0.703
45,R146673-(0001)-.dcm,0.023,3212.262,3004.934,3479.750,-117.368,0.733
46,R146673-(0001)-.dcm,0.023,3146.147,2964.348,3415.500,-121.569,0.746
47,R146673-(0001)-.dcm,0.026,3253.672,2996.583,3620.473,-128.660,0.833
48,R146673-(0001)-.dcm,0.025,3204.593,2930.308,3682.250,-130.662,0.787
49,R146673-(0001)-.dcm,0.023,3063.105,2746.444,3571.000,-122.005,0.722
50,R146673-(0001)-.dcm,0.025,3223.161,2885.318,3686.750,-114.624,0.808
51,R146673-(0001)-.dcm,0.025,3161.093,2915.260,3617.250,-93.888,0.790
52,R146673-(0001)-.dcm,0.029,3059.758,2896.629,3446.500,-97.184,0.918
53,R146673-(0001)-.dcm,0.025,3129.627,2906.760,3743.375,-89.444,0.789
54,R146673-(0001)-.dcm,0.026,3215.140,2942.224,3704.125,-93.209,0.820
55,R146673-(0001)-.dcm,0.023,3349.356,3080.375,3765.000,-83.463,0.740
56,R146673-(0001)-.dcm,0.023,3263.392,3007.247,3629.000,-80.640,0.706
57,R146673-(0001)-.dcm,0.023,3238.432,2904.283,3604.500,-65.266,0.750
58,R146673-(0001)-.dcm,0.027,3189.823,2910.592,3688.500,-61.348,0.846
59,R146673-(0001)-.dcm,0.025,3143.554,2911.805,3629.500,-51.254,0.795
60,R146673-(0001)-.dcm,0.029,3178.781,2838.850,3647.848,-45.682,0.909
61,R146673-(0001)-.dcm,0.025,3148.298,2871.183,3674.500,-40.721,0.798
62,R146673-(0001)-.dcm,0.023,3269.091,3010.167,3673.500,-39.123,0.740
63,R146673-(0001)-.dcm,0.025,3273.640,2984.590,3752.622,-26.323,0.811
64,R146673-(0001)-.dcm,0.026,3142.536,2849.417,3601.302,-20.999,0.812
65,R146673-(0001)-.dcm,0.026,3116.571,2824.321,3580.743,-24.664,0.825
66,R146673-(0001)-.dcm,0.030,3084.524,2790.159,3573.213,-17.549,0.939
67,R146673-(0001)-.dcm,0.028,3134.565,2853.445,3569.000,-11.310,0.898
68,R146673-(0001)-.dcm,0.024,3021.557,2742.400,3439.450,-10.204,0.778
69,R146673-(0001)-.dcm,0.029,3058.483,2667.110,3423.250,1.456,0.904
70,R146673-(0001)-.dcm,0.030,3103.377,2858.102,3319.306,-1.397,0.942
71,R146673-(0001)-.dcm,0.031,3040.528,2751.832,3315.506,1.364,0.965
72,R146673-(0001)-.dcm,0.024,3230.748,2841.080,3405.258,17.146,0.753
