 ,Label,Area,Mean,Min,Max,Angle,Length
1,ani_lig_R00050.dcm,0.030,3915.804,2906.417,4971.315,82.093,0.586
2,ani_lig_R00050.dcm,0.042,3654.730,2776.889,4442.928,-96.582,0.844
3,ani_lig_R00050.dcm,0.051,3477.573,3004.667,3794.929,-93.691,1.001
4,ani_lig_R00050.dcm,0.054,3466.401,2695.747,4012.443,-91.762,1.048
5,ani_lig_R00050.dcm,0.063,3622.966,2702.506,4279.167,-90.000,1.241
6,ani_lig_R00050.dcm,0.061,3708.037,2651.668,4487.632,-84.596,1.198
7,ani_lig_R00050.dcm,0.063,3813.356,2877.030,5104.301,-82.600,1.252
8,ani_lig_R00050.dcm,0.058,3950.746,2823.333,5039.179,-77.300,1.173
9,ani_lig_R00050.dcm,0.061,3771.414,2570.333,4728.700,-75.964,1.196
10,ani_lig_R00050.dcm,0.065,4184.055,2935.167,5231.277,-72.229,1.320
11,ani_lig_R00050.dcm,0.065,4145.882,2788.065,5326.555,-65.026,1.298
12,ani_lig_R00050.dcm,0.072,4027.692,2813.048,5037.333,-57.926,1.427
13,ani_lig_R00050.dcm,0.068,4062.140,3059.250,4993.167,-67.433,1.344
14,ani_lig_R00050.dcm,0.077,3770.881,2724.833,5123.556,-65.556,1.558
15,ani_lig_R00050.dcm,0.070,3921.243,2486.725,5227.573,-59.601,1.402
16,ani_lig_R00050.dcm,0.075,3979.887,2695.064,5172.155,-54.752,1.480
17,ani_lig_R00050.dcm,0.077,3689.949,2567.660,4802.458,-51.340,1.548
18,ani_lig_R00050.dcm,0.077,3688.957,2527.625,4847.676,-50.500,1.546
19,ani_lig_R00050.dcm,0.082,3871.721,2628.697,5246.806,-44.605,1.653
20,ani_lig_R00050.dcm,0.080,3869.932,2674.307,4901.697,-46.219,1.607
21,ani_lig_R00050.dcm,0.080,4075.206,2676.287,5319.139,-45.000,1.573
22,ani_lig_R00050.dcm,0.080,3457.217,2155.750,4670.193,-43.386,1.619
23,ani_lig_R00050.dcm,0.075,3335.127,2132.778,4455.041,-40.668,1.509
24,ani_lig_R00050.dcm,0.087,3328.770,2040.139,4362.654,-30.411,1.720
25,ani_lig_R00050.dcm,0.077,3607.185,2290.740,4785.500,-27.646,1.529
26,ani_lig_R00050.dcm,0.082,3583.461,2371.571,4887.366,-23.344,1.668
27,ani_lig_R00050.dcm,0.091,3282.924,1853.828,4925.044,-20.674,1.826
28,ani_lig_R00050.dcm,0.089,3412.854,1971.975,4343.338,-14.664,1.783
29,ani_lig_R00050.dcm,0.087,3940.814,2923.417,5378.944,-11.834,1.729
30,ani_lig_R00050.dcm,0.096,3750.361,2740.583,5094.358,-8.997,1.958
31,ani_lig_R00050.dcm,0.094,3965.771,2785.722,4876.176,-9.782,1.897
32,ani_lig_R00050.dcm,0.094,3735.303,2737.799,4365.694,-2.911,1.905
33,ani_lig_R00050.dcm,0.091,3694.598,2719.884,4270.148,-0.507,1.822
34,ani_lig_R00050.dcm,0.096,3662.009,3232.333,4322.875,2.862,1.937
35,ani_lig_R00050.dcm,0.089,4093.867,2852.330,5480.602,1.032,1.790
36,ani_lig_R00050.dcm,0.094,3893.513,2594.955,5230.458,4.844,1.909
37,ani_lig_R00050.dcm,0.084,4278.502,2411.083,5340.714,5.440,1.700
38,ani_lig_R00050.dcm,0.101,4045.440,2479.356,5217.202,12.479,2.014
39,ani_lig_R00050.dcm,0.094,3924.173,2639.833,5092.805,15.811,1.893
40,ani_lig_R00050.dcm,0.094,3753.125,2520.383,4971.912,20.442,1.892
41,ani_lig_R00050.dcm,0.098,3891.279,2596.721,5290.124,29.511,1.963
42,ani_lig_R00050.dcm,0.094,4221.607,2749.908,5764.261,33.555,1.896
43,ani_lig_R00050.dcm,0.094,4016.926,2541.203,5384.707,40.549,1.909
44,ani_lig_R00050.dcm,0.098,4147.194,2856.833,5672.473,46.302,2.007
45,ani_lig_R00050.dcm,0.091,4275.404,2664.314,5694.177,47.148,1.825
46,ani_lig_R00050.dcm,0.096,4121.236,2968.379,5462.872,47.344,1.951
47,ani_lig_R00050.dcm,0.098,4459.315,2465.791,6168.518,51.267,1.984
48,ani_lig_R00050.dcm,0.098,4340.205,2471.437,5930.547,55.008,1.968
49,ani_lig_R00050.dcm,0.094,4296.935,2496.750,5292.456,61.468,1.890
50,ani_lig_R00050.dcm,0.098,4800.888,2971.520,6395.385,63.853,1.975
51,ani_lig_R00050.dcm,0.101,4470.950,3160.906,5911.520,70.989,2.029
52,ani_lig_R00050.dcm,0.101,3740.506,2871.086,4494.478,70.133,2.040
53,ani_lig_R00050.dcm,0.098,3933.509,2770.603,4814.458,75.851,1.978
54,ani_lig_R00050.dcm,0.096,4011.451,2798.431,5060.732,74.703,1.955
55,ani_lig_R00050.dcm,0.096,4116.542,2849.851,5389.278,73.989,1.929
56,ani_lig_R00050.dcm,0.101,3933.619,2975.946,5135.258,75.630,2.013
57,ani_lig_R00050.dcm,0.096,3528.341,2584.042,4677.188,79.439,1.935
58,ani_lig_R00050.dcm,0.094,3512.333,2861.246,4458.041,83.177,1.899
59,ani_lig_R00050.dcm,0.084,3759.660,2673.719,4547.191,97.667,1.692
60,ani_lig_R00050.dcm,0.096,5088.335,3585.750,5959.044,114.206,1.926
61,ani_lig_R00050.dcm,0.096,5003.544,3874.361,6122.665,110.833,1.949
62,ani_lig_R00050.dcm,0.103,4690.091,3769.768,5707.180,108.719,2.059
63,ani_lig_R00050.dcm,0.108,4592.223,3982.000,5558.325,107.103,2.192
64,ani_lig_R00050.dcm,0.098,4565.986,4009.259,5364.738,114.057,1.977
65,ani_lig_R00050.dcm,0.110,4730.606,3716.693,6030.402,119.381,2.201
66,ani_lig_R00050.dcm,0.098,4790.131,3511.308,6073.667,120.964,1.974
67,ani_lig_R00050.dcm,0.108,4612.593,3553.364,5704.049,127.465,2.173
68,ani_lig_R00050.dcm,0.103,4738.228,3819.354,5637.908,136.259,2.075
69,ani_lig_R00050.dcm,0.105,4947.923,4056.108,5534.958,139.917,2.128
70,ani_lig_R00050.dcm,0.091,4980.940,3801.317,6032.343,150.505,1.833
71,ani_lig_R00050.dcm,0.105,4797.723,3994.204,5621.052,151.493,2.128
72,ani_lig_R00050.dcm,0.101,5268.180,4661.583,5865.183,157.521,2.024
73,ani_lig_R00050.dcm,0.112,4162.742,3360.071,4835.211,158.728,2.266
74,ani_lig_R00050.dcm,0.094,3947.057,3398.999,4527.500,163.113,1.887
75,ani_lig_R00050.dcm,0.108,5050.927,4245.931,5967.540,170.676,2.189
76,ani_lig_R00050.dcm,0.101,5155.254,4167.923,6481.179,173.558,2.011
77,ani_lig_R00050.dcm,0.110,4881.005,3820.432,5610.098,175.825,2.214
78,ani_lig_R00050.dcm,0.103,4839.720,3918.162,5683.309,177.357,2.098
79,ani_lig_R00050.dcm,0.108,4980.318,4034.738,5675.864,178.315,2.193
80,ani_lig_R00050.dcm,0.101,4719.712,3468.353,5404.265,178.196,2.048
81,ani_lig_R00050.dcm,0.112,5133.711,3859.233,6252.823,180.000,2.289
82,ani_lig_R00050.dcm,0.105,4584.260,3824.503,5849.968,-176.558,2.148
83,ani_lig_R00050.dcm,0.103,5155.201,4211.530,5774.332,-168.341,2.074
84,ani_lig_R00050.dcm,0.105,5300.712,4716.099,6130.990,-160.608,2.136
85,ani_lig_R00050.dcm,0.105,4920.842,4190.141,5782.207,-152.464,2.127
86,ani_lig_R00050.dcm,0.091,5010.196,4372.250,5752.322,-144.926,1.851
87,ani_lig_R00050.dcm,0.098,4955.284,4169.559,5846.608,-138.638,1.976
88,ani_lig_R00050.dcm,0.110,5012.626,4119.013,5982.109,-135.881,2.223
89,ani_lig_R00050.dcm,0.108,4944.583,4383.583,5900.633,-131.669,2.158
90,ani_lig_R00050.dcm,0.105,4931.059,4025.119,5735.242,-131.023,2.137
91,ani_lig_R00050.dcm,0.091,4798.301,4030.202,5425.029,-120.184,1.827
92,ani_lig_R00050.dcm,0.110,4583.039,3841.281,5212.268,-110.410,2.219
93,ani_lig_R00050.dcm,0.094,5282.535,3911.250,6912.839,-107.210,1.907
94,ani_lig_R00050.dcm,0.101,5502.142,4422.225,6390.818,-100.426,2.049
95,ani_lig_R00050.dcm,0.096,5119.589,4102.000,5672.766,-93.783,1.955
96,ani_lig_R00050.dcm,0.089,4958.307,4249.306,5669.126,-90.000,1.805
97,ani_lig_R00050.dcm,0.096,5595.598,4448.500,6367.792,-88.107,1.951
98,ani_lig_R00050.dcm,0.110,5299.475,3903.750,6283.463,-79.919,2.210
99,ani_lig_R00050.dcm,0.098,5156.682,4367.456,5932.370,-72.007,1.983
100,ani_lig_R00050.dcm,0.115,5256.692,4104.281,5918.463,-66.485,2.303
101,ani_lig_R00050.dcm,0.098,5555.347,4273.667,6313.860,-66.318,2.007
