 ,Label,Area,Mean,Min,Max,Angle,Length
1,ani_lig_R00050.dcm,0.039,3719.893,2920.083,4611.000,87.614,0.771
2,ani_lig_R00050.dcm,0.044,4062.471,2989.807,4820.910,93.122,0.884
3,ani_lig_R00050.dcm,0.060,3632.718,3154.817,4415.504,-93.865,1.190
4,ani_lig_R00050.dcm,0.051,3351.132,2663.750,3970.687,-89.076,0.995
5,ani_lig_R00050.dcm,0.060,3455.985,2710.000,4256.490,-90.000,1.188
6,ani_lig_R00050.dcm,0.065,3368.770,2838.417,4187.454,-85.061,1.305
7,ani_lig_R00050.dcm,0.056,3431.174,2629.176,3995.955,-82.349,1.085
8,ani_lig_R00050.dcm,0.060,3555.291,2412.667,4466.980,-78.232,1.180
9,ani_lig_R00050.dcm,0.065,3705.525,2555.255,4771.362,-75.619,1.292
10,ani_lig_R00050.dcm,0.063,4100.677,2601.418,5246.960,-67.094,1.237
11,ani_lig_R00050.dcm,0.070,4096.808,3130.421,5164.316,-62.850,1.407
12,ani_lig_R00050.dcm,0.067,4101.980,3055.000,5112.157,-58.799,1.332
13,ani_lig_R00050.dcm,0.072,4040.180,3070.667,5224.340,-66.552,1.452
14,ani_lig_R00050.dcm,0.074,3812.315,2718.500,5167.032,-63.983,1.500
15,ani_lig_R00050.dcm,0.070,3957.528,3009.504,4875.369,-59.840,1.374
16,ani_lig_R00050.dcm,0.067,3873.319,2657.683,5116.345,-51.340,1.336
17,ani_lig_R00050.dcm,0.074,3749.486,2529.779,4848.154,-48.521,1.478
18,ani_lig_R00050.dcm,0.079,3674.876,2418.833,4965.058,-45.000,1.589
19,ani_lig_R00050.dcm,0.077,3949.164,2478.625,5137.281,-44.576,1.532
20,ani_lig_R00050.dcm,0.079,3890.879,2628.583,4923.707,-45.000,1.612
21,ani_lig_R00050.dcm,0.086,4029.340,2470.000,5377.744,-40.833,1.718
22,ani_lig_R00050.dcm,0.086,3335.333,1917.056,4618.693,-37.828,1.727
23,ani_lig_R00050.dcm,0.090,3211.775,2042.028,4259.415,-32.705,1.812
24,ani_lig_R00050.dcm,0.083,3349.320,2209.056,4304.489,-30.018,1.668
25,ani_lig_R00050.dcm,0.072,3599.923,2182.417,4847.401,-29.116,1.451
26,ani_lig_R00050.dcm,0.079,3523.900,2006.269,4627.028,-25.537,1.601
27,ani_lig_R00050.dcm,0.086,3276.170,1797.135,4954.108,-23.199,1.711
28,ani_lig_R00050.dcm,0.081,3405.854,1990.351,4261.448,-16.484,1.640
29,ani_lig_R00050.dcm,0.095,3968.590,3007.501,5292.552,-8.673,1.916
30,ani_lig_R00050.dcm,0.083,3923.504,2634.253,5088.662,-5.389,1.709
31,ani_lig_R00050.dcm,0.090,3894.247,2774.368,5051.803,-5.013,1.837
32,ani_lig_R00050.dcm,0.090,3808.119,2646.441,4887.484,-3.545,1.817
33,ani_lig_R00050.dcm,0.090,3590.369,3014.731,4090.890,1.507,1.830
34,ani_lig_R00050.dcm,0.095,3672.967,3301.300,4205.925,0.955,1.926
35,ani_lig_R00050.dcm,0.095,3744.127,3080.750,4247.317,0.477,1.926
36,ani_lig_R00050.dcm,0.097,3880.013,2338.010,5303.430,1.878,1.959
37,ani_lig_R00050.dcm,0.090,3998.906,2834.250,4823.196,10.528,1.845
38,ani_lig_R00050.dcm,0.090,4064.206,2468.667,5405.896,12.095,1.838
39,ani_lig_R00050.dcm,0.090,4055.319,2389.167,5243.976,17.802,1.837
40,ani_lig_R00050.dcm,0.097,3652.334,2382.366,5067.569,24.677,1.961
41,ani_lig_R00050.dcm,0.088,3885.668,2486.056,5344.501,28.902,1.760
42,ani_lig_R00050.dcm,0.097,4051.281,2549.045,5508.787,36.501,1.997
43,ani_lig_R00050.dcm,0.095,4036.886,2486.000,5446.281,40.962,1.934
44,ani_lig_R00050.dcm,0.097,4249.664,2873.689,5879.003,46.975,1.976
45,ani_lig_R00050.dcm,0.095,3968.446,2427.833,5558.570,46.695,1.919
46,ani_lig_R00050.dcm,0.088,4298.215,2475.382,5544.435,47.553,1.784
47,ani_lig_R00050.dcm,0.100,4407.509,2344.363,6180.673,51.127,2.020
48,ani_lig_R00050.dcm,0.100,4454.830,2461.871,5837.563,55.800,1.999
49,ani_lig_R00050.dcm,0.097,4424.241,3066.750,5849.385,57.349,1.963
50,ani_lig_R00050.dcm,0.095,4826.388,3301.701,6479.158,63.650,1.916
51,ani_lig_R00050.dcm,0.109,4606.677,2904.379,5916.225,68.121,2.197
52,ani_lig_R00050.dcm,0.102,3906.245,2876.299,4740.559,68.362,2.089
53,ani_lig_R00050.dcm,0.100,3832.608,2765.952,4779.203,71.136,2.035
54,ani_lig_R00050.dcm,0.095,4089.425,2828.175,4632.462,74.450,1.916
55,ani_lig_R00050.dcm,0.093,4172.069,2846.131,5303.392,72.181,1.888
56,ani_lig_R00050.dcm,0.100,3757.001,2588.375,5067.158,76.629,2.013
57,ani_lig_R00050.dcm,0.086,3574.716,2688.833,4716.269,80.451,1.741
58,ani_lig_R00050.dcm,0.081,3587.638,2824.271,4655.304,85.559,1.658
59,ani_lig_R00050.dcm,0.081,3737.243,2626.252,4468.944,93.926,1.641
60,ani_lig_R00050.dcm,0.090,4806.895,3531.551,5506.008,121.574,1.808
61,ani_lig_R00050.dcm,0.086,4578.031,3466.470,5429.554,111.801,1.729
62,ani_lig_R00050.dcm,0.095,4261.397,3278.513,4968.310,110.556,1.920
63,ani_lig_R00050.dcm,0.095,3768.984,2934.222,4363.049,112.249,1.907
64,ani_lig_R00050.dcm,0.097,4100.047,3631.595,4610.799,117.192,1.967
65,ani_lig_R00050.dcm,0.093,4355.949,3352.771,5089.938,123.003,1.856
66,ani_lig_R00050.dcm,0.095,4067.367,3582.440,4551.376,124.089,1.919
67,ani_lig_R00050.dcm,0.102,4025.692,3139.024,4797.559,128.382,2.068
68,ani_lig_R00050.dcm,0.093,3995.063,3376.657,4612.333,138.447,1.887
69,ani_lig_R00050.dcm,0.104,4092.794,3367.295,4762.583,144.005,2.103
70,ani_lig_R00050.dcm,0.093,4007.290,3152.167,4658.903,147.943,1.875
71,ani_lig_R00050.dcm,0.093,4747.533,3813.333,5484.701,154.983,1.860
72,ani_lig_R00050.dcm,0.102,3975.783,3389.224,4625.973,156.626,2.063
73,ani_lig_R00050.dcm,0.107,4224.561,3220.694,5057.063,161.701,2.147
74,ani_lig_R00050.dcm,0.104,4590.383,3247.996,6280.676,161.157,2.137
75,ani_lig_R00050.dcm,0.097,4245.000,3356.303,4924.716,169.611,1.958
76,ani_lig_R00050.dcm,0.107,4355.144,3179.268,5152.454,176.583,2.154
77,ani_lig_R00050.dcm,0.100,4643.990,3349.222,6178.109,175.882,2.011
78,ani_lig_R00050.dcm,0.086,4963.882,3398.521,7001.054,178.949,1.750
79,ani_lig_R00050.dcm,0.090,4267.181,3784.094,4758.393,179.497,1.830
80,ani_lig_R00050.dcm,0.097,4124.828,3609.516,4753.089,179.534,1.974
81,ani_lig_R00050.dcm,0.102,4646.819,3720.233,5647.678,179.105,2.055
82,ani_lig_R00050.dcm,0.095,4126.525,3624.584,4655.361,-173.234,1.907
83,ani_lig_R00050.dcm,0.100,4606.625,3939.176,5207.000,-169.408,2.008
84,ani_lig_R00050.dcm,0.095,4276.143,3262.293,4938.583,-159.775,1.950
